id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
536681,54-8884,경기남부 부천시 심곡본동,-1층,한식점,99.17m²,,2021-07-06,1070,초초급매 반의반값 7월까지만 이값에 팝니다. ,,개인급한 사정으로 7월까지만 초급매팝니다..,부동산 교환 등의 문의는 절대 사절합니다.,"3,000만",240만,"6,400만",협상가능,직거래
534751,54-6978,경기남부 용인시 기흥구 고매동,3층,한식점,181.82m²,,2021-07-06,937,((용인))리빙파워센터 !! 매출대박 ,,허영만의 식객에 나온 맛집,"배달없이  매출 빵빵!!!
기흥의  랜드마크에   유명맛집입니다 !!!","3,000만",510만,"5,600만",협상가능,직거래
544264,55-6446,경기남부 안산시 단원구 고잔동,2층,한식점,264.46m²,,2021-06-29,157,[안산중앙동] 역대급 보장매물,"연락처공개, 주소공개, 현장동영상, 현장사진","대한민국1프로 관공서 상권, 최상급 시설, 최상급 인테리어","프랜차이즈 본사관계자 주목
무한리필 매장 업종변경 강력추천
전국1등매출 아웃백옆 감자탕매장","2,000만",300만,"6,000만",협상가능,직거래
543340,55-5525,서울시 용산구 후암동,1층,한식점,97.47m²,본죽&amp;비빔밥cafe,2021-06-11,368,서울 특급상권 본죽&비빔밥cafe 대형 매장,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","월매출 3,500만원~4,000만원 / 월수익 800만원 이상",사계절 상시 성업중인 특급 프랜차이즈 아이템,"7,000만",290만,"1억8,000만",협상가능,직거래
542673,55-4858,경기남부 화성시 능동,1층,한식점,16.53m²,,2021-07-06,767,화성동탄 시설A급 음식점(공유주방) 급매!,"연락처공개, 현장동영상, 현장사진","공유주방기본시설+화구추가/튀김기,정제기 까지 갖춘점포",화성동탄 공유주방내 배달전문점 급매진행합니다.,"1,000만",110만,"1,000만",협상가능,직거래
542440,55-4627,경기남부 용인시 처인구 김량장동,1층,한식점,76.03m²,,2021-07-06,254,특수상권 터미널 내 프랜차이즈 한식점,"연락처공개, 주소공개, 현장동영상, 현장사진",하루 티켓팅만 평균 8천장 유동인구 집중상가,지금이 기회입니다 언제든 연락주세요,"5,000만",175만,"5,000만",협상가능,직거래
541840,55-4028,서울시 용산구 한강로3가,7층,한식점,115.7m²,남도분식,2021-05-24,505,*최고특상*  용산역 아이파크몰 분식,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","오토 순익  1,200~1,600만원","매출  대박 행진중 ~~!!!!!
고매출 감당하실 수 있는 분만  문의주세요~~!
풀오토라 운영이 쉽습니...",1억,764만,"2억2,000만",협상가능,직거래
540269,55-2460,경기남부 성남시 수정구 태평동,1층,한식점,34.31m²,육감만족,2021-06-30,422,((성남))매출4000이상!!육감만족!!족발,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",주변지역상권내 맛집랭킹1등매장!!이 시국에도 순수익1400만원!,((강력추천))절대 놓치지 마세요!!극강의 수익률 매장!!맛집랭킹1위!!순수익 1400 만원 특급매장!! 빠...,"3,000만",110만,"1억7,000만",협상가능,직거래
539575,55-1771,경기남부 용인시 수지구 동천동,1층,한식점,52.89m²,코이라멘,2021-06-30,1082,용인시 수지 매출3000만원 이상 코이라멘,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",신분당선 동천역 초역세권 매장,경기도 용인시 동천동에 위치한 프랜차이즈 라멘전문점 코이라멘,"3,000만",200만,1억,협상가능,직거래
538443,55-0639,경기남부 성남시 분당구 수내동,1층,한식점,66.12m²,,2021-06-30,1073,［급매］성남분당 인테리어/시설A급 음식점,"연락처공개, 주소공개, 현장동영상, 현장사진","월매출 4,000만원 찍었던 점포/권리금 다듬어 드리겠습니다.",분당수내동 인테리어 시설A급 음식점 추천드립니다./권리금 다듬어 드리겠습니다.,"5,000만",250만,"4,000만",협상가능,직거래
542609,55-4794,서울시 도봉구 방학동,1층,한식점,59.5m²,,2021-07-06,187,방학동 자리 좋습니다 이걸 놓치시나요?,"연락처공개, 현장사진",단골 손님만 받아서 운영해도 매출 꾸준히 나오는 확실한 매장,방학역 2번출구 바로 앞에 있는 아주 좋은 물건입니다.,"3,000만",202만,"5,000만",협상가능,직거래
541839,55-4027,경기남부 수원시 권선구 고색동,1층,한식점,148.7m²,,2021-06-30,739,급매) 서수원 최강 맛집 교동두부,"연락처공개, 주소공개, 현장사진",실화냐? 이금액 특A급매장,"수원 고색동 산업단지 안에 있는 두부맛집 교동두부입니다.
","5,000만",400만,"4,000만",협상가능,직거래
