id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
542478,55-4665,서울시 구로구 구로동,-1층,일식점,16.53m²,용우동,2021-07-06,227,서울에서 가장큰 푸드코트 용우동&모밀,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",테크노마트 푸드코트 용두동&모밀,"테크노마트 푸드코트 용우동&모밀
양도및 매매
전국에서 가장 큰 푸드코트
정중앙 자리","2,000만",120만,"7,000만",협상가능,직거래
539040,55-1236,서울시 송파구 문정동,1층,일식점,63.26m²,,2021-04-26,1101,문정동 법조타운 초유명 초밥 전문점,"연락처공개, 주소공개, 현장동영상, 현장사진",월매출 6천만원 / 오토 매장,누구나 아는 절대 맛집 / 손님 걱정 없는 확실한 자리,"3,500만",350만,"1억2,000만",협상가능,직거래
542034,55-4222,서울시 강서구 마곡동,2층,일식점,198.35m²,,2021-05-27,195,"[마곡]최고급 인테리어 크랩, 일식","연락처공개, 주소공개, 현장사진","[급매전환]인테리어만 4억 투자! 엄청난 입지, 인테리어",업종 최적지! 오피스 상권 최상급 시설/단체/법인카드,"7,000만",620만,"1억5,000만",협상가능,직거래
541512,55-3700,충청남도 공주시 신관동,1층,일식점,59.5m²,,2021-06-30,292,[충남]대학가 메인상권 독점 F/C초밥,"연락처공개, 주소공개",직통번호로 문의 주시기 바랍니다.,충남 대학가 초메인에 위치해 있는 고수익 [특급] 프랜차이즈 초밥 사업체,"3,000만",150만,"2억5,000만",협상가능,직거래
540739,55-2928,경기남부 성남시 수정구 복정동,1층,일식점,116m²,,2021-06-30,141,경기성남 가천대.동서울대학앞 초밥집,"연락처공개, 주소공개, 현장사진",동종업종 독점상권. 전면주차. 매출공개,"매출 기복없음 가천대학,동서울대학교 중심에 있는 스시.참치매장 장사 잘되는 자리입니다 반듯한 사각형에 앞.뒷...","5,000만",266만,"1억5,000만",협상가능,직거래
537837,55-0037,경기남부 광명시 소하동,1층,일식점,44.3m²,,2021-06-30,794,[특가]광명 소하 중심상가! A급 라멘,"연락처공개, 주소공개, 현장사진","초밥, 스시, 라멘, 이자카야 등으로 활용 가능한 특급매물",권리금 파괴급 물건입니다! 서두르세요!,"5,000만",200만,"3,000만",협상가능,직거래
539583,55-1779,경기남부 평택시 서정동,1층,일식점,57.23m²,,2021-04-30,112,송탄출장소 먹자상권 메인코너 유명한 라멘집,"연락처공개, 현장사진",급매가격으로 빠르게 진행합니다. 서두르세요~~,송탄출장소 먹자골목 메인 코너 매장!,"1,500만",154만,"6,000만",협상가능,직거래
538423,55-0619,경기남부 하남시 풍산동,1층,일식점,66m²,,2021-06-30,162,경기하남시 미사강변 스시매장,"연락처공개, 주소공개, 현장사진",풍산동 인테리어최상 전면측면주차 앞.뒤오픈매장,미사신도시 에서 3년 넘게 운영중인 매장이므로 자리잡은 매장입니다 현재 부부운영중이며 매장 전면 측면 편리하...,"4,000만",220만,1억,협상가능,직거래
537288,54-9490,경기남부 평택시 용이동,1층,일식점,48.6m²,,2021-07-06,736,[급매]용이동 라멘 맛집 협의준비OK,"연락처공개, 주소공개, 현장동영상, 현장사진",평택 대단지아파트 중심상권 저렴한월세!,"평택 라멘 맛집
대단지 아파트 중신상권 메인자리","2,000만",140만,"2,000만",협상가능,직거래
528145,54-0380,서울시 성동구 금호동2가,2층,일식점,59.5m²,,2021-07-06,1061,정말 이 금액이야?! 스시옥 특A급 매장!!,"연락처공개, 주소공개, 현장사진",신금호역 5번 출구 바로 앞에있는 미친 자리의 가격 스시집,주저마세요,"3,000만",150만,"8,000만",협상가능,직거래
523517,53-5755,서울시 중구 신당동,1층,일식점,99.17m²,,2021-07-06,529,약수동 회&초밥 대박집이 이런 자리에?!!,"연락처공개, 주소공개, 현장사진",유동인구 바글바글하고 단골많습니다. 큰 돈 버실분 얼른 보세요!,좋은 매물입니다,"5,000만",500만,"3억5,000만",협상가능,직거래
