id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
542203,55-4390,경기남부 부천시 상동,1층,중국집,99.17m²,,2021-06-30,961,부천 중식당 최고의 자리,"연락처공개, 주소공개, 현장동영상, 현장사진",1인샵/오토/초보/투자가능,부천 차이나블랙,"2,500만",180만,"4,500만",협상가능,직거래
543661,55-5846,경기남부 화성시 반송동,1층,중국집,99.17m²,,2021-06-21,133,초 대박매장!!놓치면 아까운 중식당 매장,"주소공개, 현장사진",.오토로 운영하며 연16억매출입니다,연16억원 매출이 나오는 초대박매장입니다 놓치면 아까운매장입니다 !!,"3,000만",270만,"1억7,000만",협상가능,중개거래
543481,55-5666,경기남부 오산시 청호동,1층,중국집,223.64m²,,2021-06-17,170,"LG전자단지 중식점/ 순익1,000만원",현장사진,배달X / LG산업단지 직장인구로만 꾸준한 단골확보,"LG전잔 산업단지 바로앞 홀 전문 중식매장
모든 지출제외 순이익1.000만원 이상
모든 자료 오픈가능합니다","5,000만",400만,"1억4,500만",협상가능,중개거래
542741,55-4926,경기남부 용인시 기흥구 영덕동,1층,중국집,66.12m²,홍짜장,2021-07-06,134,[대박매장]프리미엄아울렛 홍짜장 양도,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",수원 프리미엄 아울렛 메인자리 버스정류장 바로앞,"수원 프리미엄 아울렛
유일한 중식매장
버스정류장앞매장
업종변경가능","3,000만",190만,"7,000만",협상가능,직거래
538820,55-1016,서울시 중랑구 면목동,1층,중국집,22m²,,2021-06-30,160,마라탕 중랑구점 사가정역대로변,"연락처공개, 주소공개, 현장사진",소림마라탕 브랜드 중랑구전체 영업독점권 보장매장,소림마라탕 배달.포장전문 매장 중랑구 전체 선점권 영업권 보장 동일브랜드 중랑구 입점 불가 현재 풀오토로 운...,"1,500만",100만,"5,000만",협상가능,직거래
544923,55-7104,인천시 남동구 논현동,1층,중국집,39.67m²,,2021-07-08,43,정말 싼가격! 중식당 자리!,"연락처공개, 주소공개, 현장동영상, 현장사진",부담없는가격! 1인/초보/부부/가족운영가능/바로영업가능,인천소래포구 중식당,"3,000만",170만,"1,800만",협상가능,직거래
543478,55-5663,경기남부 화성시 향남읍 하길리,2층,중국집,115.5m²,,2021-06-17,581,순수익 1000만 화성 향남 중국집,"연락처공개, 주소공개, 현장동영상, 현장사진",3500만 투자로 1억이상 매장 얻는기회,넘버원교동짬뽕 화성 향남 최고입지 매출대박 중국집,"3,000만",190만,"2,000만",협상가능,직거래
541851,55-4039,경기북부 고양시 덕양구 성사동,1층,중국집,56.7m²,,2021-06-30,914,"고양시 홀전문 대박중식당 현,순익 1300","연락처공개, 현장사진",기복없는 매출 자료공개 로또매장 지켜보세요,"부부운영, 월매출 2300~2400 만원 ,진심으로 아까운 매장이며 두분다 힘이들어 고심끝에 내놓는 매장 입...",500만,100만,"5,000만",협상가능,직거래
540691,55-2881,서울시 서초구 잠원동,1층,중국집,92.08m²,,2021-06-30,1278,[잠원동] 논현역인근 3면 코너 중국집,"주소공개, 현장사진",교환문의 안받습니다.,4거리코너에위치하여 가시성과접근성이좋으며 권리금을 확낫추어 양도양수하며 모든시설완비한매장임,"2,500만",210만,"2,000만",협상가능,중개거래
543840,55-6024,서울시 도봉구 창동,1층,중국집,95m²,,2021-06-23,293,연매출10억 중국요리전문점,"연락처공개, 주소공개, 현장동영상, 현장사진",창동 1등 중국집시설매장,"지하실 방5개 전면적 
뒷공간 서비스면적
이월세에 전면적을 씁니다","2,500만",190만,"5,500만",협상가능,직거래
536280,54-8501,경기남부 화성시 정남면 보통리,1층,중국집,208.27m²,,2021-07-06,622,카페와같은 중식당,"주소공개, 현장사진",모든시설완비한 매장이며몸만들어오시면됩니다,카페와같은 분위기좋은 중식당이며 모든시설완비한 매장임,"5,000만",350만,"2억5,000만",협상가능,중개거래
536045,54-8267,서울시 송파구 신천동,4층,중국집,231.41m²,,2021-07-06,1315,((잠실역))  홈플러스내 중식당!!,현장사진,안정적이고 꾸준한 매출,"최상급으로 관리된 프랜차이즈 중식당입니다
","3,000만",400만,"9,000만",협상가능,중개거래
535398,54-7622,서울시 강서구 내발산동,1층,중국집,113.06m²,,2021-07-06,691,"시설, 입지, 매출 모든면에서 특A급 중식당","연락처공개, 현장사진","간편한 레시피, 체계적인 매장 운영, 초보자 운영 가능!",부동산 교환 등의 문의는 절대 사절합니다.,"7,000만",360만,"5,000만",협상가능,직거래
522675,53-4913,경기남부 하남시 덕풍동,1층,중국집,70m²,,2021-07-06,894,경기 하남  홀전문 중식당,"연락처공개, 주소공개, 현장사진",하남 풍산역세권 홀중식당 사거리코너매장,하남시 덕풍동(풍산역)개통 출.퇴근 길목 사거리 코너 횡단보도앞 매장입니다 5년 성업중이며 테라스및 주차공간...,"4,000만",220만,"6,500만",협상가능,직거래
504327,51-6575,강원도 철원군 갈말읍 내대리,1층,중국집,761m²,,2021-07-06,1217,[등기매매]강원도 철원 대박중식당,"연락처공개, 주소공개, 현장사진",건물면적340제곱.건물뒤 밭면적430제곱 1층중식 월2500 이상,2층건물 등기매매 1층 중식당 직접 운영중 월4회휴무 매주 일요일 오전장사 월매출 2500만 2층 거주 건물...,"4억5,000만",없음,없음,,직거래
483087,49-5347,강원도 철원군 서면 와수리,1층,중국집,300m²,,2021-07-06,448,강원도 철원군 중식당 등기매매,"연락처공개, 주소공개, 현장사진",1층중식당 2~3층 주거공간 매매,강원도 철원군 서면 와수리 군부대앞 중식당 2층건물 (3층 옥탑)매매합니다 식당 월매출은 기복없이 월평균28...,"7억5,000만",없음,없음,,직거래
522232,53-4470,인천시 서구 당하동,1층,중국집,59.5m²,,2021-07-06,1401,[인천]특수상권! 대형 오피스 1층 중식점!,"연락처공개, 주소공개, 현장사진",엄청난 인프라를 끼고 영업하는 특급 조건! 시설 AAA,교환 사절! 문의는 에이전트에게!,"2,000만",150만,"1,500만",협상가능,직거래
513479,52-5724,서울시 동대문구 장안동,9층,중국집,79.34m²,,2021-07-06,629,[특급]유명쇼핑몰!특수상권 특A급 매물 매매,"연락처공개, 주소공개, 현장사진",수수료매장/성비수기 걱정NO!/평일매출GOOD,부동산 교환 등의 문의는 사절합니다.,"1,000만",450만,"1억1,000만",협상가능,직거래
525125,53-7363,경기남부 부천시 상동,1층,중국집,66m²,,2021-06-24,1225,송내역앞 중국집(권리금내림),"연락처공개, 주소공개, 현장동영상, 현장사진",달인짬뽕 중국집,,"1,300만",115만,"4,700만",협상가능,직거래
545023,55-7204,인천시 연수구 연수동,1층,중국집,99.17m²,,2021-07-09,13,연수구 중국집 매도 합니다.,"연락처공개, 주소공개, 현장동영상, 현장사진",배달 시키는 고객 많은 점포,,"1,000만",170만,"6,500만",협상가능,직거래
544949,55-7130,서울시 광진구 구의동,2층,중국집,92.56m²,,2021-07-07,9,((구의동)) 마라탕집,"연락처공개, 주소공개, 현장사진",고정고객  탄탄하게 잡혔어요.,,"3,000만",240만,"5,500만",협상가능,직거래
544803,55-6984,서울시 은평구 증산동,1층,중국집,72.73m²,,2021-07-07,24,은평구 중식당 자리,"연락처공개, 주소공개, 현장사진",바로영업가능 합니다.,,"2,000만",100만,"4,000만",협상가능,직거래
544802,55-6983,경기북부 포천시 소흘읍 송우리,1층,중국집,99.17m²,,2021-07-07,18,포천 송우리 중국집,"연락처공개, 주소공개, 현장동영상, 현장사진",가시성 좋은 매장,,"1,000만",100만,"3,500만",협상가능,직거래
544782,55-6963,인천시 남동구 만수동,1층,중국집,100m²,,2021-07-07,23,사거리 대로변 메인 중국집입니다,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,100만",125만,1억,협상가능,직거래
544640,55-6821,서울시 마포구 연남동,1층,중국집,79.34m²,,2021-07-05,22,마포구 연남동 중식점,"연락처공개, 주소공개, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,"5,000만",400만,"8,500만",협상가능,직거래
544627,55-6808,경기남부 화성시 오산동,1층,중국집,66.12m²,,2021-07-05,46,안정적이며 꾸준한 매출,"연락처공개, 주소공개, 현장동영상, 현장사진",월7000만원매출이 나오는매장,,"1,000만",130만,"4,000만",협상가능,직거래
544611,55-6792,경기남부 안양시 만안구 안양동,1층,중국집,49.59m²,,2021-07-05,42,초 대박매장!!놓치면 아까운 중식당 매장,"연락처공개, 주소공개, 현장사진",안양시 만안구 -태화관/중식당!,,"1,000만",70만,"2,500만",협상가능,직거래
544582,55-6763,서울시 양천구 목동,1층,중국집,122.31m²,,2021-07-05,28,목동 중식맛집 홍콩반점 임대합니다,"연락처공개, 주소공개, 현장동영상, 현장사진",계약하시고자 하는분만 전화해주시기 바랍니다,,1억,600만,"4,000만",협상가능,직거래
