id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
540380,55-2570,경기북부 파주시 와동동,1층,생선회/해물,36.36m²,,2021-06-30,2099,운정신도시 딜리버리 매장최적화 시설비 최저가,"연락처공개, 현장동영상, 현장사진",업종과 상관없이 낮은 권리금에 시설 집기 일체 인수 가능,볼빨간아구찜 파주운정점 특급매물입니다.,"2,000만",100만,500만,협상가능,직거래
542496,55-4683,경기남부 김포시 풍무동,1층,생선회/해물,198.35m²,,2021-07-06,247,[특급]월 매출 1억 중반! 계속 오르는 중,"연락처공개, 주소공개, 현장사진",코로나 상황에서 월 매출 1억 이상? 확인하세요,코로나 상황에서 월 수익 2~3천! 이게 실화?!,"1억4,000만","1,100만","3억3,000만",협상가능,직거래
541500,55-3688,인천시 연수구 연수동,1층,생선회/해물,166.28m²,어사출또,2021-06-30,495,[특급]어사출또/월 매출 1억 2천까지!,"프랜차이즈, 연락처공개, 주소공개, 현장사진",3년차/월 매출 1억선 유지/코로나 상황에서 배달도 지역 1등,급매물입니다. 일단 찔러봐주세요!,"1억3,000만",500만,"1억1,000만",협상가능,직거래
538790,55-0986,서울시 광진구 능동,1층,생선회/해물,66.12m²,,2021-06-30,489,{능동먹자골목}초A급지! 수요 폭발,"연락처공개, 주소공개, 현장사진","능동시장 먹자골목, 입지 좋은 횟집, 회 포차 스타일 굿","교환문의 절대사절, 강경대응 합니다.","4,000만",280만,1억,협상가능,직거래
543621,55-5806,경기남부 김포시 운양동,1층,생선회/해물,85.95m²,,2021-06-20,25,운양동 터줏대감~코로나여도 순수익800이상!,"연락처공개, 현장사진",최고 메인자리 메인 1층의 고수익성 대박 매장이 나왔습니다!,빨리문의주세요,"5,000만",500만,"7,800만",협상가능,직거래
520694,53-2933,경기북부 고양시 덕양구 관산동,1층,생선회/해물,495.87m²,,2021-07-06,1191,뭘 더 고민하세요. 순익 2000만원 이상!,현장사진,매출(확인가능) 대박 / 새로운 놀이와 먹거리/ 대박 사업 아이템,도시바다낚시,"2,000만",260만,1억,협상가능,중개거래
520258,53-2497,경기남부 오산시 수청동,1층,생선회/해물,111.07m²,스시웨이,2021-07-06,482,경기남부 스시웨이 확정권리 아닙니다! 빨리!,"프랜차이즈, 연락처공개, 주소공개, 현장사진",신도시 상권좋은 곳에 위치한 이미 유명한 스시매장입니다.,부동산 교환 등의 문의는 절대 사절합니다.,"3,000만",170만,"4,000만",협상가능,직거래
513639,52-5884,경기남부 부천시 심곡동,1층,생선회/해물,166m²,,2021-07-06,1503,//부천 어사출또요!//(풀오토운영중),"연락처공개, 주소공개, 현장사진",월매출6~7000만원 / 월순수익 1500만원,어사출또요!!,"5,000만",380만,"6,000만",협상가능,직거래
461365,47-3639,서울시 강남구 대치동,2층,생선회/해물,224.64m²,,2021-07-06,555,대치동 자리 좋고 인테리어 좋은 복요리집,"연락처공개, 주소공개, 현장사진",점심시간 3로테이션 미어 터지는집,대치동 복요리 전문점,"8,000만",400만,"1억2,000만",협상가능,직거래
447542,45-9832,경기남부 안양시 동안구 관양동,1층,생선회/해물,291m²,,2021-07-06,683,"안양 평촌역 독점,유명한 횟집 점포","연락처공개, 주소공개, 현장사진",점포주변 경쟁업체 없고 단골 형성되어있는 점포입니다,"안양 독점, 유명한 횟집 점포 입니다",2억,"1,400만","4억5,000만",협상가능,직거래
