id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
538689,55-0885,인천시 연수구 송도동,2층,분식점,112.4m²,,2021-07-01,1332,송도국제도시 프리미엄 인테리어 전문회사,"연락처공개, 주소공개, 현장사진",월 계약금만 2억이상 /  지금이 기회입니다,"이번에 소개해 드릴 곳은 송도국제도시에 위치한 인테리어 홈스타일링 전문회사 제스트 디자인 입니다. 

","4,000만",280만,"1억5,000만",협상가능,직거래
543623,55-5808,경기북부 양주시 옥정동,1층,분식점,59.5m²,,2021-06-19,373,양주시 옥정신도시 메인상가 꽈배기전문점,"연락처공개, 주소공개, 현장동영상, 현장사진",실화냐? 이금액 특S급매장,경기도 양주시 옥정동 최강시설 입지 해밀마을 꿀꽈배기,"3,000만",180만,"6,000만",협상가능,직거래
542435,55-4622,서울시 노원구 공릉동,1층,분식점,50m²,응급실국물떡볶이,2021-07-06,488,((특급 매물)) 응급실 국물 떡볶이!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",서울과학기술대 정문 앞 횡단보도앞에 위치한 특급매물!!,응급실국물떡볶이 특급매물입니다.,"4,000만",100만,"1억4,000만",협상가능,직거래
541001,55-3190,인천시 미추홀구 도화동,1층,분식점,33.06m²,버무리떡볶이,2021-05-14,907,떳다! 인천도화동 프랜차이즈 버무리 떡볶이,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",실화냐? 이금액 특A급매장,데이터갱신중,"2,000만",130만,"3,500만",협상가능,직거래
540478,55-2668,대전시 유성구 전민동,1층,분식점,74.23m²,응급실국물떡볶이,2021-06-30,664,"월매출2천만, 월순익700만 응급실국물떡볶이","프랜차이즈, 연락처공개, 현장동영상, 현장사진",1.5년차 대전 최고의 입지를 갖춘 권리금 낮은 특급매물입니다.,응급실국물떡볶이 1.5년차 특급매물입니다.,"1,500만",90만,"4,000만",협상가능,직거래
538429,55-0625,경기남부 성남시 분당구 삼평동,1층,분식점,46.28m²,,2021-06-30,1175,분당 판교 알짜배기 분식집 순수익800만,"연락처공개, 주소공개, 현장동영상, 현장사진",실화냐? 이금액 특A급매장,이번에 소개해 드릴 곳은 분당구 삼평동에 위치한 분식전문점 치킨박스입니다,"4,000만",330만,"8,500만",협상가능,직거래
538126,55-0323,경기남부 김포시 풍무동,1층,분식점,50m²,청년다방,2021-04-14,602,"월매출3,400만,월순익1,000만 청년다방","프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","풍무역세권, 오피스인구, 주거인구, 유동인구 확보된 특급매물!!",청년다방 김포풍무점 특급매물입니다.,"4,000만",260만,"1억4,000만",협상가능,직거래
544778,55-6959,서울시 용산구 한남동,1층,분식점,49.59m²,,2021-06-15,73,"월매출2천만원,월순익1천만원 1인 운영 가능","연락처공개, 현장사진",서울 용산구 한남동 먹자골목의 특수 입지를 지금 바로 GET!!,서울 용산구 한남동 먹자골목 특급매물,"2,000만",100만,"8,000만",협상가능,직거래
544058,55-6241,경기북부 남양주시 평내동,1층,분식점,36.36m²,33떡볶이,2021-06-25,1324,[특급]남양주 평내 특AAA급지! 프랜차이즈,"프랜차이즈, 연락처공개, 주소공개, 현장사진",오픈1년/매출 계속 오르는 중/바닥권리 보장/환금성 대박/높은순익,부동산 교환 등의 문의는 절대 사절! 적극대응합니다!,"3,000만",180만,1억,협상가능,직거래
543974,55-6158,경기북부 남양주시 다산동,1층,분식점,52m²,,2021-06-24,241,[남양주 다산신도시]매출수익높은 분식매장,"연락처공개, 주소공개, 현장사진",아까운매장 건강상 문제로 급처분합니다,[전국 매장수 235 매장] [최근3년 동종업계 오픈수 1위] [창업선호도1위] 매출자료 공개합니다 건강상 ...,"5,000만",360만,1억,협상가능,직거래
