id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
541986,55-4174,강원도 원주시 지정면 가곡리,1층,돈까스/우동,42.98m²,,2021-06-30,1362,원주기업도시 프챈 돈가스전문점 오유미당,"연락처공개, 주소공개, 현장동영상, 현장사진","입지, 상권, 유동인구 등 빠지는게 없습니다",강원도 원주시프랜차이즈 돈가스 전문점 오유미당,"4,000만",200만,"6,500만",협상가능,직거래
543161,55-5346,경기남부 성남시 수정구 창곡동,1층,돈까스/우동,40m²,,2021-06-13,445,위례 특A급입지 1층 규동매장,"연락처공개, 주소공개, 현장동영상, 현장사진",위례광장로 아이에스센트럴타워 출입구 코너매장,본 매장은 프랜차이즈 동경규동 입니다 위례 핵심상권 위치한 12층 건물정문 코너 매장입니다 전 연령층 다양하...,"3,000만",280만,"5,000만",협상가능,직거래
542357,55-4544,서울시 광진구 자양동,1층,돈까스/우동,122.98m²,은화수식당,2021-06-01,588,[건대]로데오! 특A급지! 예쁜 식당 특가,"프랜차이즈, 연락처공개, 주소공개, 현장사진",예쁜 외관/시설A급/입지A급/바닥권리 수준 특가매매,바닥권리 수준 급매! 기회를 잡으세요!,"4,000만",350만,"9,000만",협상가능,직거래
539472,55-1668,경기남부 수원시 영통구 이의동,1층,돈까스/우동,59.5m²,,2021-04-29,1236,수원광교 이의동 일본라멘점-공인중개사 추천!,"연락처공개, 주소공개, 현장사진","상권,입지,인테리어 시설A급 / 다른 음식업종도 가능","상권,입지,인테리어 시설A급의 라멘전문점입니다./개인사정으로 급매!/다른 음식업종 추천 드립니다.","3,000만",120만,"3,500만",협상가능,직거래
544603,55-6784,경기남부 부천시 심곡본동,-1층,돈까스/우동,148.76m²,델리커리(DELH...,2021-06-27,29,［델리커리］부천역사내식당가 프랜차이즈 커리점,"프랜차이즈, 현장사진",개찰구 바로앞 식당가/인테리어 시설 A급,부천역사내 인테리어 시설A급 점포 급매 진행합니다,"4,400만",345만,1억,협상가능,중개거래
544534,55-6716,경기남부 안산시 단원구 고잔동,1층,돈까스/우동,57.85m²,무공돈까스,2021-07-04,103,［무공돈까스］안산시 프랜차이즈 돈까스점,"프랜차이즈, 주소공개, 현장사진","상권,입지 A급 / 인테리어 시설A급",코로나 상황에서도 지속 출점되고있는 우량 프랜차이즈 브랜드 점포,"4,000만",180만,1억,협상가능,중개거래
540190,55-2381,경기남부 시흥시 은행동,1층,돈까스/우동,49m²,,2021-05-06,359,경기 시흥 프랜차이즈 돈까스매장,"주소공개, 현장동영상, 현장사진",핫한 브랜드 높은매출 사정상 급처분,경기 시흥 은계지구 위치한 프랜차이즈 에바 돈가츠 매장입니다 사정상 문제로 시작한지 얼마 안되 매장 정리 하...,"7,000만",390만,"7,000만",협상가능,중개거래
537488,54-9688,경기남부 수원시 영통구 이의동,1층,돈까스/우동,44.3m²,역전우동0410,2021-06-30,835,［역전우동-공인중개사 추천!］수원광교 우동점,"프랜차이즈, 주소공개, 현장사진",오토운영 월수익 200만원 수준/부부운영 하시면 월수익은?,수익성 좋은 우량 프랜차이즈 점포 추천 드립니다. / 지금 바로 문의주세요!,"5,000만",250만,"1억1,000만",협상가능,중개거래
536902,54-9105,경기북부 구리시 갈매동,1층,돈까스/우동,133m²,,2021-07-06,1473,구리시 갈매신도시 돈까스매장,"연락처공개, 주소공개, 현장사진",갈매CGV및 지식센터 밀집지 코너매장,갈매동 돈까스매장 오픈한지 얼마안된매장 매출은 상승중이나 개인적인 사정이 생겨 내놓습니다 호재가 많은 지역이...,"2,000만",200만,"5,000만",협상가능,직거래
536379,54-8583,경기남부 성남시 중원구 성남동,1층,돈까스/우동,58.16m²,,2021-07-06,1302,요즘 가장 핫한 저가형 특급 돈가스 매장!,"연락처공개, 현장사진",인구밀집도 매우 높은 모란역 먹자상권에 위치하여 매출 빵빵,"모란역 최고의 먹자골목 특급 돈가스 매장!
가격협의 문의 주세요~","3,000만",250만,"1억2,000만",협상가능,직거래
532162,54-4393,경기남부 화성시 반송동,1층,돈까스/우동,109.09m²,하루엔소쿠,2021-07-06,641,위탁운영/ 양도양수 가능한 최상급 매장,"프랜차이즈, 연락처공개, 주소공개, 현장사진",안정화 될 때까지 전폭 지원과 도움까지 드립니다.,"경기남부 랜드마크 메티폴리스 1층 상가!!
현업종 승계가 가능하며 타업종까지 협의 가능합니다.",0만,360만,없음,,직거래
523586,53-5824,경기남부 안양시 동안구 관양동,1층,돈까스/우동,89.45m²,생생돈까스,2021-07-06,571,((동편마을)) 독점급 식당: 생생돈까스~!,"프랜차이즈, 주소공개, 현장동영상, 현장사진",유효수요 많은 노른자자리,초초초 특급,"4,000만",200만,"2,500만",협상가능,중개거래
