id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
540372,55-2562,서울시 서대문구 대신동,3층,기타음식점,190.55m²,,2021-06-30,355,신촌 13년동안 평균 매출 6천 이상,"연락처공개, 현장동영상",연대 세브란스 병원 상권 순수익 평균 1500만원 이상,관리를 안해도 알아서 운영이 되는 매장입니다 언제든 문의 가능하니 편하게 연락주세요,1억,385만,"2억5,000만",협상가능,직거래
543527,55-5712,서울시 성북구 종암동,1층,기타음식점,360.33m²,,2021-06-17,214,큰 규모의 설렁탕집 빠른 매도 합니다,"연락처공개, 현장사진",순수익 800이상에 코로나 영향 없는 초특급 에이급 매장이 이가격,"큰 규모의 블루오션의 매장입니다.
얼른 문의주세요","3,000만",225만,"5,800만",협상가능,직거래
542421,55-4608,경기남부 김포시 걸포동,1층,기타음식점,33.06m²,,2021-07-06,303,월매출 1200이상 반찬판매전문점 초급매,"연락처공개, 주소공개, 현장사진",프랜차이즈/누구나손쉽게 운영가능/대단지아파트,이런 매장을 잡으세요,"2,000만",180만,"4,900만",협상가능,직거래
539783,55-1978,경기남부 하남시 풍산동,1층,기타음식점,33m²,,2021-06-30,313,하남미사 부대찌개 테이크아웃매장,"연락처공개, 주소공개, 현장동영상, 현장사진",기복없는 매출 누구나 손쉽게 운영가능한 포장판매점,"미사강변지구 독점권을 가지고 있어 안정적인 운영이 되며 주위 매장들에 비해 임대료가 절반가격 입니다
배달의...","3,000만",150만,"6,000만",협상가능,직거래
538959,55-1155,경기남부 안양시 만안구 안양동,1층,기타음식점,26.45m²,,2021-06-30,342,[안양]초대형 단지 정문! 프리미엄 반찬,"연락처공개, 주소공개, 현장사진",메이저 프랜차이즈/입지조건 완벽!/강력 추천 매물,입지조건 만으로도 답이 나오는 매물! 서두르세요!,"5,000만",230만,"7,000만",협상가능,직거래
544668,55-6849,인천시 남동구 구월동,1층,기타음식점,1194.65m²,쿠우쿠우,2021-07-05,75,"월매출5억,월순익1억 이상 쿠우쿠우 특급매물","프랜차이즈, 주소공개, 현장동영상, 현장사진",5년차 쿠우쿠우 인천구월점 특급매물 출현!!,쿠우쿠우 인천구월점 특급매물입니다.,2억,"2,000만",8억,협상가능,중개거래
544219,55-6402,경기남부 하남시 학암동,1층,기타음식점,76.03m²,,2021-06-28,93,((스타필드 맛집!!)) 초저렴하게 드려요!,"주소공개, 현장동영상, 현장사진",초저렴합니다! 빠른 문의 바랍니다~!!,"일단 오셔서  보세요 ~~!!
하남  스타필드 바로 옆 건물!!  대박입지입니다  ~~!!
빠르게  선점...","6,000만",420만,"6,000만",협상가능,중개거래
544185,55-6368,경기남부 용인시 기흥구 보라동,1층,기타음식점,89.26m²,,2021-06-28,53,((용인 보라동)) 쌀국수  맛집~~!!,"현장동영상, 현장사진",초저렴합니다! 빠른 문의 바랍니다~!!,"초특급 매각 조건~~~~!!!
빠르게 문의주셔요~~~!!!!","3,000만",310만,"4,000만",협상가능,중개거래
542603,55-4788,서울시 강서구 마곡동,2층,기타음식점,44.96m²,,2021-07-06,345,[추천]발산역/마곡 A급지 멕시칸음식점,"연락처공개, 주소공개, 현장사진","시설, 인테리어 완벽 컨디션! 업종 변경에도 최적",배달/홀 영업 대응 완벽! 어느 업종으로도 만사 OK!,"2,000만",200만,"3,000만",협상가능,직거래
544581,55-6762,경기남부 평택시 비전동,1층,기타음식점,39.67m²,,2021-07-05,66,((대박입지)) 대박조건 !!,"주소공개, 현장동영상, 현장사진",스세권에서  대박나세요~~!,"평택의 랜드마크  1층 상가 
저렴한  조건에  임대드립니다
빠른 문의 주셔서  좋은 입지  선점 하세요...","2,000만",130만,없음,,중개거래
