id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
544770,55-6951,경기남부 안산시 단원구 초지동,1층,패스트푸드,42.9m²,와플대학,2021-07-07,167,월순익600만원 1인운영 가능한 와플대학!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",와플대학 권리금 최저가 선착순 마감합니다!!,와플대학 초지캠퍼스 특급매물입니다.,"3,000만",120만,"5,500만",협상가능,직거래
542346,55-4533,서울시 성북구 길음동,1층,패스트푸드,242.65m²,롯데리아,2021-07-06,621,[롯데리아] 초역세권! 특급매물 선착순!,"프랜차이즈, 연락처공개, 주소공개, 현장사진","리뉴얼 완료! 추가 투자 NO! 초역세권, 특A급자리",특급매물입니다. 조용히 문의주세요.,"2억3,000만","1,092만","3억5,000만",협상가능,직거래
542037,55-4225,강원도 원주시 단구동,1층,패스트푸드,33.06m²,샌드리아,2021-07-01,327,[급매!]오픈 9개월! 샌드리아 특급매물,"프랜차이즈, 연락처공개, 주소공개, 현장사진","월 매출 1,800 이상 계속 매출 오르는 중! 특가로 던집니다",급급매! 그냥 신규 매장을 줏어가는 겁니다! 서두르세요!,"3,000만",130만,"3,000만",협상가능,직거래
539830,55-2025,인천시 연수구 송도동,1층,패스트푸드,104.13m²,맘스터치,2021-06-30,669,[송도]맘스터치!평균매출 7천이상!대박매장,"프랜차이즈, 연락처공개, 주소공개, 현장사진",인프라 조성되는 송도 메인 상권! 현재도 7천까지 발생,부동산 교환 등의 문의는 절대 사절합니다.,"6,000만",400만,"3억2,000만",협상가능,직거래
544954,55-7135,충청북도 청주시 흥덕구 송절동,1층,패스트푸드,112.4m²,롯데리아,2021-07-08,28,호재 많은 지역의 롯데리아!!,"프랜차이즈, 주소공개, 현장동영상, 현장사진",앞으로 무궁무진하게  성장할 테크노폴리스!,"매출 좋은 흥덕구의   롯데리아입니다.
주변으로  호재가  계속 이어지고 있습니다
빠르게  선점하세요~!!","5,000만",320만,"4억1,000만",협상가능,중개거래
543058,55-5243,경기남부 용인시 수지구 신봉동,1층,패스트푸드,81.78m²,맘스터치,2021-06-10,387,((수지)) 맘스터치!!!!!!!!,"프랜차이즈, 주소공개, 현장동영상, 현장사진",호재 많은 상권의 매출 좋은 맘스터치~~!!!!!!!!,"매출 좋은 맘스터치입니다.
안정적 수익 가져가세요~~!!!
앞으로 상권은 더욱 좋아집니다 ~~~!!!!!...","8,000만",425만,2억,협상가능,중개거래
538995,55-1191,서울시 성동구 하왕십리동,1층,패스트푸드,85.95m²,,2021-04-26,605,성동구 컨디션 최고의 패스트 푸드점,"주소공개, 현장동영상, 현장사진",오토로 1000만원 수익중,"성동구 컨디션 최고의 패스트푸드점!!!
(점포라인 강력 추천 매물)",1억,500만,"2억3,000만",협상가능,중개거래
541888,55-4076,경기남부 성남시 중원구 성남동,2층,패스트푸드,148.76m²,,2021-06-30,449,"[성남시]월매출9,000만원이상맘스터치 매장",현장사진,초역세권에 위치한 매출좋은 맘스터치 매장이 나왔습니다.,"[성남시]월매출 9,000만원이상맘스터치 매장",1억,460만,"3억5,000만",협상가능,중개거래
543008,55-5193,경기남부 김포시 마산동,1층,패스트푸드,88.56m²,맘스터치,2021-06-10,227,[김포마산]안정적 매출! 신규상태 맘스터치,"프랜차이즈, 연락처공개, 현장사진",앞으로가 더 기대되는 김포의 떠오르는 상권,부동산 교환 등의 문의는 절대 사절합니다.,1억,460만,"1억6,500만",협상가능,직거래
544767,55-6948,서울시 서대문구 창천동,1층,패스트푸드,34.05m²,,2021-07-07,27,[급급매]신촌! 바닥권리 이하 특급매물!,"연락처공개, 주소공개, 현장사진","샐러드 프랜차이즈, 대형교회 바로 앞 A급지 추천",급매물입니다. 빠른 문의가 시급합니다.,"4,000만",200만,"2,800만",협상가능,직거래
543673,55-5858,서울시 노원구 월계동,1층,패스트푸드,26m²,,2021-06-21,23,[노원구]광운대정문앞 수제버거매장,"연락처공개, 현장사진",광운대학교 메인대로변 임대료 대박집,대학정문앞이라 테이크아웃업종 추천합니다 서울상권에서 보기힘든 임대료 입니다 변동사항 없이 인수 됩니다 권리금...,"1,000만",70만,"8,000만",협상가능,직거래
541957,55-4145,서울시 송파구 문정동,1층,패스트푸드,33.06m²,명랑시대쌀핫도그,2021-06-30,281,［명랑핫도그]송파#급매#프랜차이즈핫도그전문점,"프랜차이즈, 연락처공개, 주소공개, 현장사진",월수익 600만원 이상 / 공인중개사가 추천 드립니다.,월수익 600만원 이상 / 공인중개사 추천!,"3,000만",200만,1억,협상가능,직거래
