id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
540073,55-2264,서울시 마포구 성산동,1층,피자점,53.3m²,비스트로피자,2021-05-04,1708,월순익 900만원 2년차 비스트로피자 마포점,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",가족 운영시 월 순익 700~900만원으로 성공창업을 이루세요,비스트로피자 마포점 특급매물,"1,000만",70만,"3,500만",협상가능,직거래
537958,55-0157,경기남부 군포시 도마교동,1층,피자점,34.71m²,,2021-06-30,273,섹시한 피자마루 [군포송정],"연락처공개, 주소공개, 현장동영상, 현장사진",단지내 상가라 월세120 정말 섹시한 매장,"송정지구 피자마루
대단지상권
저렴한월세","3,000만",121만,"1억2,000만",협상가능,직거래
543562,55-5747,서울시 도봉구 쌍문동,1층,피자점,76.03m²,치킨과 바람피자,2021-06-18,162,[특급]검증된 피자점! + 떡볶이 대박 프차,"프랜차이즈, 연락처공개, 주소공개, 현장사진",매출 검증된 피자점에 떡볶이 프랜차이즈 매출 고공행진중,월 매출 4천 대는 그냥 넘길 수 있는 특급매물!,"2,000만",150만,"8,000만",협상가능,직거래
540263,55-2454,경기남부 수원시 영통구 매탄동,1층,피자점,90m²,긱스피자,2021-06-30,589,월매출2천7백 월순익9백만 긱스피자 매출급등,"프랜차이즈, 현장동영상, 현장사진","수원 영통구 맛집랭킹 5위! 가족운영시 월1,000만원 가능 특급",긱스피자 수원매탄점 특급매물입니다.,"1,000만",80만,"5,000만",협상가능,중개거래
542589,55-4775,서울시 종로구 명륜2가,2층,피자점,127.6m²,피자헤븐,2021-07-06,607,"월매출5천,월순익1천5백 피자헤븐&눈치떡","프랜차이즈, 현장사진",서울의 특수상권 종로구 독점으로 7년차 피자헤븐 특급매물입니다.,피자헤븐 종로성대점 특급매물입니다.,"5,000만",240만,2억,협상가능,중개거래
538971,55-1167,경기남부 부천시 소사본동,1층,피자점,82.65m²,,2021-06-30,1944,[특급][반올림피자샵] 월 매출 1억!,현장사진,피자업계 최고 프랜차이즈 + 월 매출 대박 + 안정성 + 수익성,부동산 교환 등의 문의는 절대 사절합니다.,"1,000만",90만,2억,협상가능,중개거래
542839,55-5024,경기남부 부천시 괴안동,1층,피자점,26.45m²,,2021-06-08,414,[특수]홈플러스 내 안정적인 A급 매장,"연락처공개, 주소공개",프랜차이즈 피자/1층 입구/안정성 AA/급급매,부동산 교환 등의 문의는 절대 사절합니다.,"1,000만",200만,"7,000만",협상가능,직거래
540078,55-2269,경기남부 광명시 소하동,1층,피자점,33.06m²,청년피자,2021-06-30,472,[청년피자]  헉 !!!!!!매출이!!!!!,"프랜차이즈, 주소공개, 현장동영상, 현장사진",여기 보다 더 좋은 수익 있으시면 그거 하셔요!!:),"고매출 청년피자  찾으셨던 분
드디어  업어 왔습니다 !!
빠른 문의가  진리입니다 ~!!!!!!!!","1,500만",100만,"8,000만",협상가능,중개거래
543231,55-5416,경상남도 사천시 용현면 덕곡리,1층,피자점,39.67m²,피자마루,2021-06-14,129,월세 30 만원 !! 매출굿 !! 코너자리,"프랜차이즈, 연락처공개, 주소공개, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,지금 바로 전화 주세요 !!,"2,000만",30만,"7,500만",협상가능,직거래
536845,54-9048,서울시 서초구 방배동,1층,피자점,68.25m²,,2021-07-06,780,((방배+사당+봉천+반포)) 빨간모자 !!,"주소공개, 현장동영상, 현장사진",권리금 협상 가능합니다 ~!!,"방배 + 사당 + 봉천의 영업권을  가진
강남 대세 피자 전문점   빨간모자 피가 !!!
귀한  매장입니...","3,000만",250만,"1억6,000만",협상가능,중개거래
