id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
543932,55-6116,서울시 송파구 잠실동,-1층,커피점,13.22m²,,2021-06-24,294,[섹시한마카롱매장] 순수익600이상,"연락처공개, 주소공개, 현장동영상, 현장사진",잠실새내역 트리지움상가 엘리베이터 앞상가,"전국1등 마카롱 커피매장
잠실새내역내
트리지움상가
엘레베이터 바로앞매장
","1,000만",100만,"6,000만",협상가능,직거래
542608,55-4793,경기남부 시흥시 대야동,1층,커피점,33.06m²,,2021-07-06,624,시흥] 귀한 병원건물 프랜차이즈카페 양도양수,"연락처공개, 주소공개, 현장동영상, 현장사진",안적적수익! 귀한 병원내 프랜차이즈카페 ,특급 꼭 보세요 점포라인 초보차 추천매물 !,"4,000만",180만,1억,협상가능,직거래
540208,55-2399,서울시 영등포구 문래동3가,-2층,커피점,51.9m²,쥬씨(JUICY),2021-06-30,644,[쥬씨차얌] 문래 홈플러스 전국1등자리,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",문래역4번출구 에스컬레이터2곳과 화장실앞 유동인구대박자리,"문래역4번출구
에스컬레이터 2곳과 화장실앞매장
전국1등 유동인구대박매장
홈플러스 문래역점 쥬씨차얌","1,000만",294만,"8,800만",협상가능,직거래
542810,55-4995,경기북부 의정부시 의정부동,1층,커피점,94.88m²,,2021-07-08,397,자자~이런 카페 또 놓치는 일은 없으시겠죠?,"연락처공개, 현장사진",의정부에서 감성 카페로 통하는 인기만점 카페 드뎌 나왔어요,"경기 북부 의정부역 먹자라인 메인 자리!!
절대 놓지지 말아야하는 인스타 카페
저렴한 인수하세요!!","2,000만",140만,"5,800만",협상가능,직거래
540823,55-3012,경기남부 평택시 비전동,1층,커피점,36.36m²,,2021-06-10,498,카페인중독 말도 안되는 안정적인 카페~,"연락처공개, 현장사진",프랜차이즈 이런가격 못보셨죠?! 빠른매도,배달로 입지 다져놓은 완벽한 매물입니다.,"2,000만",80만,"2,800만",협상가능,직거래
540705,55-2895,서울시 강서구 등촌동,1층,커피점,14.46m²,,2021-06-10,695,팔공티 등촌점 문의 많습니다!계약부터하세요,"연락처공개, 현장사진",목동 학원가 원탑 자리 테라스 있는 알짜베가 카페입니다.,"등촌동 학원가 팔공티 입니다.
알짜베기형 매장이니 얼른 보러 오세요","1,500만",120만,"8,000만",협상가능,직거래
540444,55-2634,서울시 은평구 대조동,1층,커피점,46.28m²,,2021-05-17,372,은평구 카페에 이런 수익 보셨나요?빨리요빨리,"연락처공개, 현장사진",커피 배달로만 순수익 1200만원 이상~ 이런 매장 보셨나요?,한달 최대 수익 1300이상 빠른게 문의 주세요,"2,000만",150만,"1억5,000만",협상가능,직거래
544754,55-6935,서울시 중구 신당동,1층,커피점,59.5m²,,2021-07-07,35,[특급]서울에서도 손꼽는 중심상권 [이디야],현장동영상,직통번호로 문의 주시기 바랍니다.,서울중심상권에 위치한 특급조건의 이디야 사업체 입니다. 직통번호로 문의 시 자세하게 매물에 대한 무료상담 가...,"5,000만",300만,"1억4,000만",협상가능,중개거래
544364,55-6546,인천시 미추홀구 숭의동,1층,커피점,125.6m²,,2021-07-01,59,[인천]역세권1등 [ 특급 이디야 ],,월수익 500만원 초보/여성창업 추천,"인천 역세권에 위치한 시설, 매출 모두 특급조건의 이디야 사업체 입니다. 단순문의 및 24시간 언제든 문의 ...","5,000만",228만,"1억6,500만",협상가능,중개거래
543282,55-5467,경기남부 안산시 단원구 고잔동,1층,커피점,92.56m²,,2021-06-15,216,[안산]A급 복합상권 [특급] 이디야 !!,,아파트대단지와 모든관공서가 밀집된 특급상권,안산 모든 관광서와 아파트 대단지가 밀집되어 있는 특A급 복합상권에 위치한 이디야 사업체 입니다. 직통번호로...,1억,360만,"1억1,500만",협상가능,중개거래
