id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
544246,55-6429,경기남부 하남시 망월동,1층,치킨점,66.12m²,,2021-06-29,182,[섹시한매장]오픈3개월차 치킨프랜차이즈,"연락처공개, 주소공개, 현장동영상, 현장사진","최상급 컨디션 ,상권중 월세 최저가","프랜차이즈 치킨매장
상권중 월세 최저가
","2,000만",140만,"1억1,000만",협상가능,직거래
544147,55-6330,충청남도 예산군 덕산면 사동리,1층,치킨점,99.17m²,비에이치씨(BHC),2021-06-28,246,[BHC]대규모리조트 워터파크내 치킨집!!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","사업성 우수한 매장,편하게 풀오토 안정적수익??이매장입니다.",충남 덕산 스플라스리솜내 매장. 선착순 마감.담당자 문의,0만,없음,"8,000만",협상가능,직거래
542285,55-4472,경기북부 남양주시 다산동,1층,치킨점,33.06m²,,2021-07-06,3430,((다산지금!!!!!))  거저예요!!!!,"연락처공개, 주소공개, 현장동영상, 현장사진",부부운영 추천!!,"최상의 입지 조건입니다~!
빠르게  문의 주셔야  주인이 되실 수 있습니다 ~~!!
본격적인  성수기전에...","2,000만",170만,"1,200만",협상가능,직거래
542167,55-4354,인천시 남동구 서창동,1층,치킨점,132.23m²,,2021-06-30,250,인천 서창2지구 대단지 중심 메인상권 유명프,"연락처공개, 현장동영상, 현장사진","1만5천세대 메인상권, 배달 요충지,대형상권",언제든 편하게 연락주세요,"8,000만",480만,"1억3,000만",협상가능,직거래
541505,55-3693,부산시 동래구 명장동,1층,치킨점,56.2m²,비비큐(BBQ),2021-07-01,1089,((BBQ))부산 동래구 신생  비비큐!!,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",시설  완전 좋아요!! 빨리  와보세요,"명장동  배달 상권 최요지에  나온  BBQ !!!!
완전  강추합니다 ~~!!
빠른 매매가 예상됩니다 ...","1,500만",90만,"3,500만",협상가능,직거래
540230,55-2421,서울시 동대문구 답십리동,1층,치킨점,42.98m²,,2021-06-30,626,(권리인하) 모든업종!!여기 먼저 보세요!!,"연락처공개, 현장동영상, 현장사진","특A급 자리/치킨 호프, 카페, 고기집 모든 업종 소화 가능!!","#체크 포인트
1)더블역세권 코너자리!!
2)전면 폴딩도어 개방감 최고!!넓은 야장!!
3)어떤 업종이...","4,000만",215만,"2,900만",협상가능,직거래
538616,55-0812,서울시 성북구 종암동,2층,치킨점,112.07m²,비에이치씨(BHC),2021-06-30,895,[BHC]지금이 기회입니다! 최소투자!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",권리금 대폭인하!매출신장중!! 권리금협상 선착순마감합니다.,최상위권 치킨프랜차이즈  BHC치킨,"3,000만",160만,"2억5,000만",협상가능,직거래
538611,55-0807,인천시 강화군 강화읍 관청리,1층,치킨점,99m²,비비큐(BBQ),2021-06-30,1412,BBQ 강화 독점 매장 순수익 1200만,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",교촌/60계/BHC는 저리가라.. 명품매장 납시오,이번에 소개해 드릴 곳은 인천 강화에 위치한 프랜차이즈 치킨전문점 BBQ입니다.,"2,000만",110만,"2억5,000만",협상가능,직거래
543422,55-5607,경기남부 성남시 수정구 창곡동,1층,치킨점,40m²,,2021-06-16,273,매출좋은 치킨매장 위례광장로,"연락처공개, 주소공개, 현장사진",전면넓고오픈되는매장 야장많이나옴,전면오픈 데크야장많이나옴 매출기복없이 높음 꾸준하게 돈벌수있는매장입니다,"5,000만",200만,1억,협상가능,직거래
542593,55-4779,서울시 동대문구 이문동,1층,치킨점,59m²,지코바양념치킨,2021-07-08,400,누구도 흉내 낼 수 없는 양념 맛 지코바치킨,"프랜차이즈, 연락처공개, 주소공개, 현장사진",서울 동대문구 이문동에 위치한 1년차 지코바치킨 특급매물,지코바치킨 이문1호점 특급매물입니다.,"3,000만",160만,1억,협상가능,직거래
541967,55-4155,서울시 성동구 금호동2가,-4층,치킨점,59.5m²,,2021-05-26,286,[특급]60계치킨!!월 매출 8천까지! 독점,"연락처공개, 주소공개, 현장사진",대형 아파트 단지 주상복합 특A급 입지! 야장 가능/매출 폭발,특급매물입니다. 가격 문의는 일단 주세요!,"3,000만",225만,3억,협상가능,직거래
540981,55-3170,경기남부 하남시 선동,1층,치킨점,32.8m²,,2021-06-30,1304,비비큐 BSK 초급매!!! 월매출 3천!!!,연락처공개,배달권역 보장된 안정성 있는 알짜매장!,"비비큐 스마트키친(BSK) 초초초급매!
선착순으로 마감하겠습니다.","3,000만",150만,"6,000만",협상가능,직거래
539577,55-1773,경기남부 수원시 팔달구 인계동,1층,치킨점,13.25m²,,2021-04-30,486,[수원]인계동 홈플러스 대박 닭강정!!,"연락처공개, 현장사진",시간 없습니다.,인계동 홈플러스 최고 좋은매물,"1,000만",550만,"4,000만",협상가능,직거래
538877,55-1073,경기남부 김포시 장기동,1층,치킨점,121.85m²,,2021-06-30,1388,((장기역)) 5번출구 다이소 바로 뒤,"연락처공개, 주소공개, 현장사진",장기동 먹자골목 !!!!!!!!!!!!1,"김포 장기역 장기먹자골목 초입 
놀이터 바로 앞 
카페처럼 예쁜  치킨 점입니다 !!!!!!!!!!!!!...","1,500만",130만,"4,000만",협상가능,직거래
537949,55-0148,경기남부 안양시 만안구 안양동,1층,치킨점,180.36m²,,2021-04-12,893,[안양]떠오르는 아이템 치킨과 떡볶이 콜라보,"연락처공개, 주소공개, 현장사진",메이저 브랜드의 새로운 브랜드! 새로운 시작,부동산 교환 등의 문의는 절대 사절합니다.,"1,000만",100만,"5,000만",협상가능,직거래
544865,55-7046,서울시 성북구 하월곡동,1층,치킨점,49.49m²,푸라닭,2021-07-07,60,((월곡))특급입지!!매출빵빵!!특급 푸라닭,"프랜차이즈, 현장동영상, 현장사진",최대매출 9500이상!!홀 시설까지 최상급!!무조건 잡으세요!,((강력추천))푸라닭 특급매장 !! 매출 빵빵하고 홀 시설까지 완벽한 놓치기 아까운 매장입니다!!많은 관심 ...,"2,000만",150만,"1억4,000만",협상가능,중개거래
