id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
534647,54-6874,경상남도 통영시 무전동,1층,카페,198.35m²,셀렉토커피,2021-07-06,2144,초대형 면적!! 리뉴얼 카페 명소 !! ,,10 년된 카페 명소 !! 3억 이상 투자된 프랜차이즈 카페 !!,지금 바로 전화 주세요 !!,"5,000만",270만,"1억5,000만",협상가능,직거래
542298,55-4485,전라남도 나주시 빛가람동,1층,카페,23.06m²,빽다방,2021-06-30,2755,나주 듀플렉스호텔 객실 분양 및 근생 매매,"프랜차이즈, 연락처공개, 주소공개, 현장사진",객실분양 / 빽다방 / 빽스비어 / 이마트24 임차 및 매매,객실분양 / 백다방 / 백스비어 / 이마트24 임차 및 매매,1억500만,없음,없음,,직거래
534902,54-7128,서울시 관악구 남현동,1층,카페,231.41m²,카페베네,2021-06-30,13771,주목!!사당역 바로앞! 특급대형커피나왔습니다,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",탐내시는분들 정말많았던자리 ..자리만봐도 답나옵니다,"사당역6번출구 바로앞 도보10초 ! 서둘러주세요 
직통번호로 연락주시면 신속하게 상담도와드리겠습니다",1억,700만,"3억5,000만",협상가능,직거래
543687,55-5872,서울시 금천구 가산동,1층,카페,78.35m²,,2021-06-21,391,쉿 조용히 보세요. 놓치면 후회합니다.,"현장동영상, 현장사진",수익성 보장!! 풀오토 운영중인 초특급 매장!,가산동 더카페 / 수익성 보장!! 풀오토 운영중인 초특급 매장!!,"5,000만",300만,"1억9,000만",협상가능,중개거래
545020,55-7201,경기북부 구리시 인창동,1층,카페,26.74m²,와플대학,2021-07-09,71,구리 인창동 1등디저트 와플대학,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",수익성/최상입지/깔끔한시설,특 S급 디저트 최강 와플대학 구리인창캠퍼스점,"5,000만",190만,"1억2,000만",협상가능,직거래
542573,55-4759,경기남부 용인시 기흥구 보정동,1층,카페,50.22m²,,2021-07-06,472,((보정동카페거리))신규급매장!!홍콩다방!!,"연락처공개, 주소공개, 현장동영상, 현장사진",떠오르는 신생 프랜차이즈 홍콩다방 컨디션 최상급매장!,강력추천!!떠오르는 핫한 그 카페 !! 홍콩다방 !! 신규급매장 합리적인 금액으로 양도!! 빠르게 잡아가세요...,"3,000만",220만,"1억5,000만",협상가능,직거래
542152,55-4339,인천시 연수구 송도동,2층,카페,64.13m²,커피코트,2021-05-28,1218,인천송도 최강입지상권 프랜차이즈 커피코트,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","입지, 상권, 유동인구 등 직접 확인하세요",인천시 연수구 송도동 프랜차이즈 커피코트 입지 상권 최고 위치,"3,000만",220만,"3,000만",협상가능,직거래
539781,55-1976,경기남부 광주시 퇴촌면 영동리,1층,카페,661.16m²,,2021-06-30,2597,((경기 광주 !!))초대형 베이커리 카페,"연락처공개, 주소공개, 현장동영상, 현장사진",1층 + 2층 단독 건물!!!!!!!!!!!,"초특급 베이커리 카페 ~~~:)
광주 퇴촌 베이커리 카페 성지 ~~:D","4,000만",500만,"4억1,000만",협상가능,직거래
539268,55-1464,서울시 광진구 군자동,1층,카페,22m²,커피온리,2021-06-30,1718,((세종대))강력추천!!커피온리 착한가격!!,"프랜차이즈, 연락처공개, 현장동영상, 현장사진","소액창업,초보창업 직접운영 강력추천하는 매장!!저렴한 고정지출!",강력추천!!소액창업 여성창업 소자본창업 빠르게 문의 주세요!! 고정지출이 저렴해 수익률 좋은 매장!!,"1,500만",90만,"6,500만",협상가능,직거래
536354,54-8575,서울시 영등포구 영등포동7가,1층,카페,57.3m²,커피베이,2021-07-06,2399,((주5일))순익600!!커피베이 알짜매장!,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",강력추천!!주5일4월순익880!!매출자료 모두 확인가능합니다!,커피베이 전체 가맹점중 손가락 안에 드는 특급매장 !!정말 강력추천하는 매장 입니다 !! 리스크없는 매장 빠...,"3,500만",245만,"8,500만",협상가능,직거래
