id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
543081,55-5266,충청남도 예산군 예산읍 산성리,1층,떡볶이/튀김,82.65m²,불닭발땡초동대문엽...,2021-06-10,401,"월매출3천5백,월순익1,300동대문엽기떡볶이","프랜차이즈, 연락처공개, 현장동영상, 현장사진",충남 예산군 시내 최고의 입지 엽떡 3년차 특급매물!!,동대문엽기떡볶이 충남예산점 특급매물입니다.,"2,000만",80만,"1억5,500만",협상가능,직거래
540672,55-2862,서울시 강남구 자곡동,1층,떡볶이/튀김,36.3m²,신전떡볶이,2021-06-30,420,［신전떡볶이］강남자곡동 떡볶이점-월수익6백만,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",반오토운영중 -공인중개사 추천!-권리 얼마에 매수희망 하시나요?,"창업자 선호도 높은 신전떡볶이! / 수익성,안정성 높은 우량점포 소개드립니다.","4,000만",240만,"7,000만",협상가능,직거래
541415,55-3603,서울시 성북구 동선동1가,1층,떡볶이/튀김,25m²,,2021-06-30,400,월매출 1억원 이상 배떡 성신여대점 특급매물,현장사진,나혼자산다 김민경의 최애떡볶이 배떡 로제떡볶이!!,배떡 성신여대점 특급매물입니다.,"2,000만",130만,2억,협상가능,중개거래
540531,55-2721,인천시 미추홀구 학익동,1층,떡볶이/튀김,29.93m²,,2021-06-30,221,순익 500이상~ 신참떡볶이 급매합니다.,"연락처공개, 주소공개",말도 안되는 임대조건! 입지 무조건 보세요! 놀랍니다,"**직거래, 부동산거래 환영합니다.**
**무조건 오셔서 봐야하는 매장입니다.**","1,000만",55만,"2,500만",협상가능,직거래
544005,55-6189,경기북부 의정부시 민락동,1층,떡볶이/튀김,76.03m²,청년다방,2021-06-24,66,((민락2)) 청년다방!!,"프랜차이즈, 주소공개, 현장사진",상권 과 입지 그리고 매출 앤드 수익 좀  보세요!!!,"민락 2지구에  청년다방  떴습니다
상권 과  입지 대박입니다
빠르게  선점하세요~~~!!",1억,450만,1억,협상가능,중개거래
542908,55-5093,서울시 서초구 양재동,1층,떡볶이/튀김,54m²,국대떡볶이,2021-05-31,27,((국대떡볶이)),"프랜차이즈, 주소공개, 현장사진",매출 좋은 국대 떡볶이  나왔습니다.,"국대떡볶이 !! 저렴하게 나왔어요~~!!
초보 창업자가  운영을  못해서  나온  초급매 
국대입니다 !...","3,000만",270만,"7,500만",협상가능,중개거래
540733,55-2922,서울시 동대문구 장안동,1층,떡볶이/튀김,37.86m²,신불떡볶이,2021-07-06,490,((장안동))  신불떡볶이,"프랜차이즈, 주소공개, 현장사진",자리 잘 잡아놓은  신불떡볶이입니다 ~!,"동대문구 장안동   신불떡볶이   강추합니다  ~!!!
","1,500만",150만,"1,500만",협상가능,중개거래
535359,54-7583,서울시 강남구 역삼동,1층,떡볶이/튀김,43.29m²,김가네김밥,2021-07-06,1580,"급매_역삼동 피자, 족발 딜리버리점 추천!!","프랜차이즈, 주소공개, 현장동영상, 현장사진",최저가 권리금 3천만원 선착순으로 모십니다.,#강남구 역삼동 제2종 일반주거지역 내에 위치한 단골 많은 13년차 김가네 김밥 특급매물입니다.,"2,000만",135만,"2,500만",협상가능,중개거래
537661,54-9861,경기남부 평택시 비전동,1층,떡볶이/튀김,49.59m²,빨간자전거,2021-06-30,984,[평택] 배달로제떡볶이 월순익700이상!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",배떡을 능가하는 평택배달맛집 상위랭킹!!,평택 청소년 단골분식점! 로제떡볶이 배달맛집!,"2,000만",100만,"5,000만",협상가능,직거래
536001,54-8224,서울시 은평구 구산동,1층,떡볶이/튀김,52.23m²,,2021-07-06,280,"((은평구)) 초,중,고 바로 옆!! 급매",현장사진,매출이  대박적!!! 순익도 대박적 !,"은평구 구산동 
초중고 끼고 있는
인기 떡볶이 프랜차이즈 !!!!!","2,000만",130만,"5,000만",협상가능,중개거래
