id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
544985,55-7166,서울시 용산구 한남동,3층,바,198.35m²,,2021-07-09,48,"[특급]핫플레이스! SNS, TV방송 출연","연락처공개, 주소공개, 현장사진","엄청나게 유명한 곳, 그 유명세를 그대로 떠안을 수 있는 기회",부동산 교환 등의 문의는 절대 사절합니다.,"1,500만",140만,"8,500만",협상가능,직거래
543017,55-5202,서울시 강남구 논현동,1층,바,99.17m²,,2021-06-10,1236,[논현]최고수준 인테리어! 입점최적! 고가컨,"연락처공개, 주소공개, 현장사진","신사역 오피스를 모두 품는 고급화 매장, 카페/와인바","최상급시설, 최상급입지, 고급화 매장 찾는 분은 여기로!","3,500만",330만,"3억5,000만",협상가능,직거래
523224,53-5462,서울시 관악구 신림동,-1층,바,130.74m²,,2021-07-06,7295,[신림] 직원승계 가능한 풀오토 모던바!!,"연락처공개, 주소공개, 현장사진",여자분이 운영시 월수익 800 가져갑니다,바로 계약될 매장입니다. 서두르세요~!!,"3,000만",150만,"1,000만",협상가능,직거래
536639,54-8842,경기남부 오산시 궐동,2층,바,69.6m²,,2021-07-06,1278,[오산] 모던바! 월수익 700!!,"연락처공개, 현장사진",누구나 가능. 저렴하게 인수받고 고수익으로!,직원들 출퇴근만 해주시면 됩니다!,"1,500만",110만,"1,000만",협상가능,직거래
526388,53-8625,경기남부 김포시 구래동,5층,바,128.93m²,,2021-07-06,760,((김포 구래동)) 나이트+ 먹자 상권,"주소공개, 현장동영상, 현장사진",최상급 인테리어& 상권 & 입지,김포 구래동 상권 핫플레이스 입지입니다 !!,"2,000만",170만,"8,000만",협상가능,중개거래
520917,53-3156,경기북부 파주시 동패동,3층,바,165.02m²,,2021-07-06,746,"파주시 교하] 입지여건 최상, 고급 모던바","연락처공개, 주소공개, 현장사진",반독점적 입지 매장/ 가시성 좋은 자리/ 횡단보도 낀 입지,파주 3층 바,"4,000만",200만,"2,000만",협상가능,직거래
520700,53-2939,경기북부 고양시 일산동구 장항동,3층,바,85.62m²,,2021-07-06,2562,[일산] 비교불가! 매출공개! 급매!,"주소공개, 현장사진",보시면 맘에 쏙!! 안보시면 후회!,교환 문의 절대 사절합니다!,"1,000만",115만,"3,000만",협상가능,중개거래
544605,55-6786,경기남부 안양시 동안구 호계동,1층,바,43.97m²,,2021-07-05,29,안양시 -최고의 와인바 급매~!!!,"연락처공개, 주소공개, 현장사진",안양 호계동 위치한-와인앤피플-절호의 찬스!!!,,"1,500만",130만,"2,500만",협상가능,직거래
544194,55-6377,서울시 동작구 사당동,1층,바,49.59m²,오늘와인한잔,2021-06-28,44,이수역 프랜차이즈 와인바 급매,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",바닥권리 수준 특급 매물,,"7,000만",300만,"1억3,000만",협상가능,직거래
544158,55-6341,경기남부 화성시 반송동,1층,바,99.17m²,오늘와인한잔,2021-06-23,39,동탄 메이저 프랜차이즈 와인바 매매,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","검증된 입지, 검증된 프랜차이즈",,"6,500만",440만,2억,협상가능,직거래
