id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
538692,55-0888,부산시 해운대구 반송동,1층,맥주호프점,100m²,,2021-06-30,457,[특급]역전할머니 맥주 양도양수!!,"연락처공개, 주소공개, 현장사진",배달x영업시간제한 매출입니다 / 성수기매출 받아가세요,"어느곳 손볼곳없이 몸만 들어오시면 됩니다 
임대료가 저렴한 알짜 매장입니다","2,000만",70만,"2억3,000만",협상가능,직거래
543546,55-5731,전라북도 군산시 미룡동,1층,맥주호프점,125.62m²,역전할머니맥주19...,2021-07-06,184,［역전할머니맥주］군산시 맥주점-오토운영 가능,"프랜차이즈, 현장동영상, 현장사진","월수익 1,200만원~1,500만원/초우량점포/공인중개사 추천",수익성 좋은 우량 프랜차이즈 맥주점. 추천 드립니다,"3,000만",260만,"3억5,000만",협상가능,중개거래
538860,55-1056,경기남부 용인시 기흥구 중동,1층,맥주호프점,82.65m²,펀비어킹,2021-04-23,345,［펀비어킹］용인기흥구 프랜차이즈 맥주점,"프랜차이즈, 현장동영상, 현장사진","월수익 400~700만원 수준/입지,시인성 좋습니다","상권,입지 좋은 우량 프랜차이즈 맥주점 추천드립니다. / 많은 관심과 문의 바랍니다.","2,000만",320만,1억,협상가능,중개거래
543436,55-5621,인천시 연수구 옥련동,2층,맥주호프점,165.41m²,백스비어,2021-06-16,132,[초특급] 인천 항아리상권 백스비어 대형매장,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진","월매출 3,500만원 / 시설투자 2.25억원 / 최신 인테리어",2020년 7월 신규 오픈 / 최상급 시설 2.25억원 투자 / 즉시 영업 가능,"4,000만",220만,"5,000만",협상가능,직거래
543626,55-5811,서울시 양천구 목동,-1층,맥주호프점,132.23m²,,2021-06-20,39,염창역 특특 AA급 위치 빨리 보세요!,"연락처공개, 현장사진",그 무엇을 해도 되는 최고의 입지 목입니다~ 유동성 난리남!,빨리문의주세요,"1,500만",130만,"1억5,500만",협상가능,직거래
543558,55-5743,경기남부 성남시 분당구 정자동,1층,맥주호프점,92.56m²,,2021-06-16,316,((분당)) 테라스가 예술인 집~!권리금조정,"연락처공개, 현장사진",KT 먹거리촌  가장 좋은 자리입니다.,"테라스가  엄청 예쁜  분당의 먹자골목내  호프집~!!
빨리 와보세요","3,000만",270만,"1억2,000만",협상가능,직거래
542470,55-4657,서울시 중구 충무로3가,1층,맥주호프점,125.62m²,,2021-06-16,62,동아골뱅이 권리금 협상 가능!!,"연락처공개, 현장사진",충무로 먹자 골목에서 40년 정통 골뱅이 매장이 나왔어요,동아골뱅이,"6,500만",140만,"1억2,500만",협상가능,직거래
540860,55-3049,서울시 중랑구 면목동,1층,맥주호프점,52.89m²,,2021-06-30,942,[초특가]도심속 아늑한 숲속같은 선술집 급매,"연락처공개, 주소공개, 현장사진",7호선 사가정역 바로 앞 / 대형 실내 테라스,중랑구 만남의 장소 / 애주가들이 선호하는 특별한 자리,"3,000만",190만,"1,000만",협상가능,직거래
541977,55-4165,경기남부 수원시 장안구 율전동,1층,맥주호프점,134m²,,2021-06-30,252,수원 율전동 성대메인 시설A급 통건물 주류점,"주소공개, 수익률보증, 현장사진","월수익 1,000만원 이상 / 권리금은 다듬어 드리겠습니다.",수원 장안구 성대메인상권 수익성 좋은 프랜차이즈 점포 소개드립니다.,"7,000만",440만,"2억2,000만",협상가능,중개거래
543432,55-5617,경기남부 성남시 분당구 야탑동,2층,맥주호프점,165.29m²,,2021-06-16,130,성남분당 야탑동 먹자골목메인 시설A급 맥주점,"주소공개, 현장사진","상권,입지,인테리어 시설A급 / 몸만 들어 오시면 됩니다",성남분당 야탑동 먹자라인 A급 자리. 인테리어 시설A급 맥주점 추천 드립니다.,"5,500만",370만,"1억9,500만",협상가능,중개거래
544432,55-6614,서울시 중구 신당동,1층,맥주호프점,42.98m²,생활맥주,2021-07-02,40,((약수역)) 메인식당가 생활맥주,"프랜차이즈, 연락처공개, 주소공개, 현장사진",이런 상권 이런 가게 나오지 않습니다. 바로 연락주세요,"초보창업자, 호프집을 운영하실분 누구나 할수 있는 매장입니다.","3,000만",220만,"1억3,000만",협상가능,직거래
544133,55-6316,경기남부 안양시 만안구 안양동,2층,맥주호프점,208.79m²,뉴욕야시장,2021-06-27,481,안양1번가 뉴욕야시장 초특가 급매,"프랜차이즈, 연락처공개, 주소공개, 현장사진",2층 전층 대형 매장 / 유명 상권 핵심 입지,초특가로 안양1번가 유명 프랜차이즈 대형매장 입점 기회!!,"2,000만",200만,"1,500만",협상가능,직거래
544133,55-6316,경기남부 안양시 만안구 안양동,2층,맥주호프점,208.79m²,뉴욕야시장,2021-06-27,481,안양1번가 뉴욕야시장 초특가 급매,"프랜차이즈, 연락처공개, 주소공개, 현장사진",2층 전층 대형 매장 / 유명 상권 핵심 입지,초특가로 안양1번가 유명 프랜차이즈 대형매장 입점 기회!!,"2,000만",200만,"1,500만",협상가능,직거래
528372,54-0607,경기남부 안산시 단원구 원곡동,2층,맥주호프점,99.17m²,,2021-07-06,667,이거 실화야?!! 안산 펀비어킹 이가격에??,"주소공개, 현장사진",고급진 인테리어의 매출 높은 특AA급 물건이 쨘~하고 등장했어요,안산 최고의 매출의 물건입니다. 꼭 잡으세요~,"5,000만",250만,"1억5,000만",협상가능,중개거래
527464,53-9700,경기남부 오산시 고현동,1층,맥주호프점,95.87m²,,2021-07-06,1746,[오산][특급] 펀비어킹 ! 상권 내 최상,연락처공개,핫한 사업체는 다 모여있는 알짜상권 / 곧 성수기 입니다,상권 내 손꼽히는 매장입니다. 모든부분 협의 가능 ! 문의 주세요 !,"6,000만",300만,"6,000만",협상가능,직거래
527078,53-9314,경기남부 광주시 역동,1층,맥주호프점,73.06m²,,2021-07-06,12562,나홀로집에,"연락처공개, 주소공개, 현장사진",경기광주역 인근에 그림같은 독채 펍이 나왔습니다~ 주목!,인터리어 끝판왕 독채 펍이 경기광주역 인근에 나왔습니다. 매출 수익 안정성있고 매우 좋습니다. 얼른 문의주세...,"4,000만",300만,"1억2,000만",협상가능,직거래
526395,53-8632,서울시 성동구 도선동,1층,맥주호프점,49.59m²,,2021-07-06,3149,왕십리역앞에 이런 귀한 술집이 나왔다구?!,"연락처공개, 주소공개, 현장사진",주목! 절대 안나올꺼 같던 목좋은 술집이 이렇게 저렴하게 나왔네요,왕십리역 초특급 자리의 술집이 나왔습니다~ 주목하세요!!,"3,000만",150만,"3,000만",협상가능,직거래
522167,53-4405,서울시 강서구 등촌동,3층,맥주호프점,89.26m²,,2021-07-06,554,가양역 등촌동 인테리어 일품인 세계맥주집!!,"연락처공개, 주소공개, 현장사진",안정적인 수익형 프랜차이즈 맥주집이 방금 따끈따끈 하게 나왔어요@,인테리어 아주 이쁘고 세계맥주비턴 등촌점이 따끈따끈하게 매물로 나왔습니다. 문의 많이 주세요,"2,000만",160만,"4,000만",협상가능,직거래
520611,53-2850,인천시 중구 운서동,1층,맥주호프점,99.17m²,미술관,2021-07-07,971,인천 운서 상업지구] 오토운영 프차 감성주점,"프랜차이즈, 현장사진",수익률 대박/ 주차장 확보 된 초메인 매장/입지 대박 좋아요,미술관,"6,000만",400만,"5,000만",협상가능,중개거래
517414,52-9655,경기남부 오산시 고현동,1층,맥주호프점,95.87m²,,2021-07-06,286,[오산][특급] 펀비어킹 ! 상권 내 최상,,핫한 사업체는 다 모여있는 알짜상권 / 곧 성수기 입니다,이제 곧 성수기 ! 단순문의 및 협의 가능합니다.,"6,000만",300만,"6,000만",협상가능,중개거래
516657,52-8898,인천시 연수구 송도동,1층,맥주호프점,42.98m²,짝태시대,2021-07-06,439,불황없는 2만세대배후 독점 !!!!!!!!!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",문만  열면  기다렸다는 듯이  오시는 손님들,"2만여 세대 배후지 독점에  술맛좋기로 소문난  맛집 언능
겟하세요!!  초기시설비만 받고  드립니다
꽃...","5,000만",290만,"6,500만",협상가능,직거래
516647,52-8888,경기남부 시흥시 은행동,1층,맥주호프점,82.65m²,,2021-07-06,953,오토운영매장]요즘 핫한 치킨점!! 60계치킨,"현장동영상, 현장사진",점주님 일 안합니다./매출 관리만 하는 오토 매장,"60계치킨 시흥점,부천점","4,000만",200만,1억,협상가능,중개거래
537482,54-9683,인천시 중구 신포동,1층,맥주호프점,105.79m²,,2021-06-30,2087,[특급]인천 신포! 대박조건! 서두르세요!!,"연락처공개, 주소공개, 현장사진","1-2층 통 건물 사용! 가시성, 접근성 AAA",부동산 교환 등의 문의는 절대 사절합니다. (법적조치),"2,000만",180만,"4,900만",협상가능,직거래
535094,54-7320,경기남부 성남시 분당구 운중동,1층,맥주호프점,65.88m²,,2021-07-06,507,[경기남부] 자리가 다 합니다[F/C맥주],,직통번호로 문의 주시기 바랍니다.,경기남부에 위치한 F/C맥주 사업체 입니다. 깔끔한 컨셉의 펍 사업체라서 손님층이 좋으며 매장 자리도 좋아서...,"2,500만",140만,"7,500만",협상가능,중개거래
533736,54-5964,경기남부 수원시 영통구 영통동,1층,맥주호프점,44.8m²,생활맥주,2021-07-06,774,수원 최고 상권 최고 브랜드 생활맥주!!!,"프랜차이즈, 연락처공개, 현장사진",초보자도 쉽게 운영 가능한 특A급 매물!,교환문의 절대사절. 강경대응 합니다.,"5,000만",250만,"3,000만",협상가능,직거래
497663,50-9917,경상남도 창녕군 창녕읍 교상리,1층,맥주호프점,66.12m²,,2021-07-06,114,[경남창녕]시내권에 자리좋은 용구비어,"연락처공개, 주소공개",매출좋고 상권 장점많습니다. 단순문의 가능,경남에 위치한 스몰비어 사업체,"1,000만",80만,"1억1,000만",협상가능,직거래
536745,54-8948,서울시 광진구 구의동,1층,맥주호프점,33.06m²,,2021-07-06,1806,광진구) 대박상권 매출대박 스몰 비어 펍,"연락처공개, 주소공개, 현장동영상, 현장사진",지금 놓치면 후회합니다.,오늘 소개드릴곳은  광진구 구의동에 위치한 치킨전문점 필맥주 입니다.,"1,000만",75만,"4,500만",협상가능,직거래
534301,54-6528,서울시 마포구 서교동,1층,맥주호프점,109.07m²,대한맥주집,2021-07-06,843,[홍대] 기회닷!! 대한맥주집 직영점!!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",자리보고 놀라고!! 매장보고 놀라고!,제대로 된 매장을 찾으시죠? 이게 정답입니다!,"6,000만",500만,"5,000만",협상가능,직거래
533892,54-6120,경기북부 고양시 일산서구 탄현동,-1층,맥주호프점,138.84m²,하루비어,2021-07-06,501,[특급] 역세권 대형 주상복합 메인 호프집!,"프랜차이즈, 연락처공개, 주소공개, 현장사진","경기 북부 최대 부촌 단지! 소비력, 밀집도 매우 높음",부동산 교환 등의 문의는 절대 사절합니다.,"7,500만",500만,"1억5,000만",협상가능,직거래
527434,53-9670,인천시 남동구 구월동,1층,맥주호프점,44.77m²,,2021-07-06,918,인천 치킨호프점,"연락처공개, 주소공개, 현장사진",사거리 대로변에 위치한 낭만치맥.권리 저렴하게 나왔어요..,구월아시아드 선수촌 대로변 치킨호프. 낭만치맥 - 권리 저렴합니다.,"3,000만",145만,"4,000만",협상가능,직거래
527167,53-9403,서울시 성동구 행당동,2층,맥주호프점,165.29m²,뉴욕야시장,2021-07-06,1627,뉴욕야시장!!매출  좀 물어보세요,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",최상급 상권 & 입지,핫핫 한양대 상권의 고매출 술집입니다!!,1억,470만,2억,협상가능,직거래
521281,53-3519,서울시 중랑구 신내동,1층,맥주호프점,33.06m²,생활맥주,2021-07-06,1321,((신내동)) 뜨는 !!핫!! 생활맥주!!,"프랜차이즈, 주소공개, 현장동영상, 현장사진",어서 득템하세요,안전빵 생활맥주,"2,000만",150만,"7,000만",협상가능,중개거래
517494,52-9735,서울시 노원구 중계동,1층,맥주호프점,49m²,,2021-07-06,538,매출좋은 중계동 치킨!닭강정!호프집!,"연락처공개, 주소공개, 현장동영상, 현장사진",고정고객 잡혀서 매출좋아요,"정말 입지 대박 
야장 무한대 깔수 있음
언능 와보세요~!!","2,000만",150만,"6,000만",협상가능,직거래
541999,55-4187,인천시 부평구 삼산동,2층,맥주호프점,132.23m²,펀비어킹,2021-07-06,260,[펀비어킹]부평 굴포천역 핵심입지 급매,"프랜차이즈, 연락처공개, 주소공개, 현장사진",권리금 분납 가능 / 상시 협의 가능,유명 프랜차이즈 본사에서 최신 개발된 다양한 식사/주류 메뉴 일체,"3,000만",180만,"1억1,000만",협상가능,직거래
544916,55-7097,경기남부 용인시 처인구 백암면 백암리,1층,맥주호프점,115.7m²,,2021-07-08,1,용인시 처인구 호프 전문점 매도,"연락처공개, 주소공개, 현장사진",위치는 좋으니까 편하게 연락주세요,,"4,000만",300만,"1억7,000만",협상가능,직거래
544793,55-6974,인천시 남동구 서창동,1층,맥주호프점,61.2m²,,2021-07-06,8,항아리 상권 내 프랜차이즈 맥주호프 전문점,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산문의 교환및문의 절대사절입니다.,,"3,000만",230만,"5,000만",협상가능,직거래
544694,55-6875,인천시 연수구 송도동,1층,맥주호프점,132.23m²,,2021-07-06,10,인천 송도 호프주점 매장 양도,"연락처공개, 주소공개, 현장사진",인천시 연수구 송도동에 위치한 호프주점 매장,,1억,730만,"3,980만",협상가능,직거래
544676,55-6857,경기남부 평택시 비전동,3층,맥주호프점,178.51m²,,2021-07-05,7,평택 비전동 테라스 넓은 맥주집 창업,"연락처공개, 주소공개, 현장사진",자리 보시고 결정하세요,,"3,000만",200만,"3,000만",협상가능,직거래
544641,55-6822,서울시 종로구 관철동,1층,맥주호프점,118.88m²,,2021-07-05,15,종각역 맥주호프점,"연락처공개, 주소공개, 현장동영상, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,3억,900만,"7,000만",협상가능,직거래
544638,55-6819,서울시 종로구 구기동,2층,맥주호프점,93.4m²,,2021-07-05,4,종로구 구기동 맥주호프점,"연락처공개, 주소공개, 현장동영상, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,"2,000만",100만,"5,000만",협상가능,직거래
544556,55-6738,서울시 마포구 상암동,1층,맥주호프점,107.77m²,,2021-06-29,9,상암동 수제맥주 맛집!!!,"연락처공개, 주소공개, 현장사진",유명프랜차이즈입니다 연락주세요,,"5,000만",390만,"1억5,000만",협상가능,직거래
544528,55-6710,경기남부 하남시 망월동,1층,맥주호프점,126.48m²,,2021-07-03,21,하남 미사에서 핫한 종로맥가 양도합니다.,"연락처공개, 주소공개, 현장사진",시설권리 술 식자재 모두 다 드립니다.,,"3,000만",320만,"4,000만",협상가능,직거래
544507,55-6689,서울시 금천구 가산동,1층,맥주호프점,49.59m²,,2021-06-30,18,몽구비어 가산디지털점 임대합니다,"연락처공개, 주소공개, 현장동영상, 현장사진",계약하시고자 하는분만 전화해주시기 바랍니다,,"5,000만",400만,1억,협상가능,직거래
544352,55-6534,서울시 동대문구 회기동,2층,맥주호프점,41.86m²,,2021-06-30,14,동대문구 루프탑 매장 양도,"연락처공개, 주소공개, 현장동영상, 현장사진",서울시 동대문구에 위치한 루프탑 매장,,"2,500만",171만,"3,900만",협상가능,직거래
544338,55-6520,서울시 서대문구 연희동,2층,맥주호프점,132m²,,2021-06-30,12,연희동 맥주호프집,"연락처공개, 주소공개, 현장사진",먹자거리내 호프집,,"5,000만",260만,"7,000만",협상가능,직거래
544326,55-6508,서울시 동대문구 장안동,1층,맥주호프점,33m²,,2021-06-30,24,장안동 1층 호프집,"연락처공개, 주소공개, 현장사진",1층 대로변 호프 주점 매물입니다,,"2,000만",200만,"3,000만",협상가능,직거래
544207,55-6390,인천시 남동구 만수동,1층,맥주호프점,99.78m²,,2021-06-28,22,인천 남동구 만수동 개인 맥주 호프집 매매,"연락처공개, 주소공개, 현장동영상, 현장사진",개인 호프집 비어스토리 복층구조 넓은야장,,"3,000만",240만,"1억3,000만",협상가능,직거래
543940,55-6124,서울시 강동구 길동,1층,맥주호프점,84.3m²,,2021-06-24,22,강동구 길동 보석같은 호프집,"연락처공개, 주소공개",지금 놓치면 후회합니다.,,"8,000만",480만,"8,000만",협상가능,직거래
543910,55-6094,서울시 중구 신당동,1층,맥주호프점,42.98m²,,2021-06-23,29,약수역의 수제맥주집 임대합니다,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 맞교환전화 절대사절합니다!!!!!!!!!,,"3,000만",220만,"1억4,000만",협상가능,직거래
543814,55-5998,서울시 강서구 화곡동,2층,맥주호프점,235.37m²,,2021-06-22,60,강서구 화곡동 호프집,"연락처공개, 주소공개, 현장사진",젊은층 유입이 많은 유명먹자거리내 호프집,,"5,000만",350만,"1,500만",협상가능,직거래
543808,55-5992,서울시 강서구 화곡동,1층,맥주호프점,82.65m²,,2021-06-25,69,강서구 화곡동 호프집,"연락처공개, 주소공개, 현장사진",강서구 유명먹자거리내 호프집,,"3,000만",210만,"2,000만",협상가능,직거래
543659,55-5844,서울시 서대문구 창천동,2층,맥주호프점,37.43m²,,2021-06-21,62,신촌 명물거리 인근 바&펍,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환문의 절대사절,,"1,000만",70만,"1,000만",협상가능,직거래
