id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
539471,55-1667,서울시 송파구 풍납동,1층,실내포차,33.06m²,,2021-04-30,604,[특가]풍납동 급급매! 시설 완비!,"연락처공개, 주소공개, 현장사진","포차, 이자카야 등 어떤 방식으로도 운영 가능! 완비된 특가 매물",먼저 잡는 사람이 임자! 권리 조정 가능!,"3,000만",110만,700만,협상가능,직거래
543056,55-5241,경기남부 안산시 단원구 고잔동,1층,실내포차,165.29m²,,2021-06-10,104,((안산)) 공룡슈퍼,"주소공개, 현장동영상, 현장사진",바닥권리급으로  드립니다 ~~!!!!!!!!!!!,"안산시  고잔동  먹자골목에  위치한  감성술집
바닥권리급으로  급매합니다 ~~!!","5,000만",280만,"1억5,000만",협상가능,중개거래
539838,55-2033,경기남부 수원시 영통구 영통동,1층,실내포차,52.89m²,,2021-05-04,204,경희대 레트로 감성!! 스몰비어 & 실내포차,"주소공개, 현장사진",영통역 / 경희대 학생들이 많습니다.,경희대 인근 학생들이 많은  대학상권 입니다.,"3,000만",170만,"8,000만",협상가능,중개거래
544455,55-6637,경기남부 부천시 심곡동,3층,실내포차,256.2m²,,2021-07-02,49,웨이팅 하고 만석 되는 최고급 술집 !!,"연락처공개, 주소공개, 현장사진",먹자 상권 유흥 상권 부천역 줄서서 먹는 만석 술집 매출 최고,지금 바로 전화 주세요 !!,"6,000만",330만,2억,협상가능,직거래
535267,54-7491,경기남부 시흥시 은행동,1층,실내포차,82.65m²,주식회사포차천국,2021-07-06,620,섹시한 포차천국 은계점{인기술집},"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",최상급매장입니다 매출 수익 상권 은계지구 최고의 매장,"대한민국1등 상권 은계지구
섹시한 포차천국 은계점 띄웁니다
다들아시죠 요즘 정말 핫한 프랜차이즈 !포차천...","8,000만",350만,"2억8,000만",협상가능,직거래
515100,52-7342,인천시 부평구 십정동,1층,실내포차,76.03m²,주식회사포차천국,2021-07-06,794,((포차천국))초급매~!!안정적 매출과수익!,"프랜차이즈, 연락처공개, 주소공개, 현장사진",매출 꾸준히 상승중,자리 잘 잡힌  매출 안정적인  포차 프랜차이즈,"2,500만",165만,1억500만,협상가능,직거래
537581,54-9781,서울시 성북구 상월곡동,1층,실내포차,39.67m²,,2021-06-30,766,((초초초급매!!))역대 최고 조건!!,"주소공개, 현장동영상, 현장사진",((역세권)) 동덕여대 입구!!!!!,최고 저렴한 임대조건으로  수익률 좋아요 !!!!!!!,800만,80만,"3,500만",협상가능,중개거래
535452,54-7676,서울시 마포구 서교동,1층,실내포차,165.29m²,,2021-07-06,618,홍대 !!학교앞 최고 메인 입지!!!!,"주소공개, 현장동영상, 현장사진",홍대에서  제일 가까운  포차 술집!!!!!!!!!!,"홍대  가장  좋은  메인  자리!!!!!!!!
여러가지  면에서  이 만 한 곳  없습니다 !!!!
빠...","5,000만",600만,"2억5,000만",협상가능,중개거래
530778,54-3010,서울시 종로구 창신동,1층,실내포차,36.36m²,,2021-07-06,383,1인 포차!주점!술집!,"연락처공개, 현장사진",가격낮을때 언능 선점하세요!!,좋은자리,"2,000만",105만,"4,500만",협상가능,직거래
499004,51-1258,서울시 강서구 공항동,2층,실내포차,148.76m²,,2021-07-06,279,[먹자골목 감성술집] 경성주막1929,"연락처공개, 주소공개, 현장사진","프랜차이즈 창업, 권리금 협의 가능!! 조건 너무 좋아요","강서구 멀자골목에 위치한 감성 술집 입니다~
","2,000만",220만,"1억4,000만",협상가능,직거래
528879,54-1113,서울시 광진구 화양동,-1층,실내포차,105.07m²,,2021-05-03,600,((건대먹자메인))시설최상 포차!!타업종가능,"연락처공개, 주소공개, 현장동영상, 현장사진",시설최상 주점 건대 먹자 초메인 특급자리 빠른문의주세요,,"4,000만",250만,"6,000만",협상가능,직거래
524785,53-7023,경기북부 고양시 일산동구 풍동,1층,실내포차,82.65m²,,2021-06-21,1275,[일산동구 풍동]월순이익 1천만원 A주점!!,"연락처공개, 주소공개, 현장동영상, 현장사진",안정적인 수익 / AA급 시설 급매!!,,"3,000만",160만,"3,800만",협상가능,직거래
544636,55-6817,서울시 영등포구 문래동3가,1층,실내포차,39.67m²,,2021-07-05,9,문래창작촌 호프포차,"연락처공개, 주소공개, 현장동영상, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,"1,000만",80만,"3,000만",협상가능,직거래
544257,55-6439,서울시 노원구 상계동,2층,실내포차,132.23m²,,2021-06-29,30,노원역 초역세권,"연락처공개, 주소공개, 현장동영상, 현장사진",모든시설완비한 매장이며몸만들어오시면됩니다,,"2,000만",200만,"8,000만",협상가능,직거래
544103,55-6286,서울시 양천구 목동,2층,실내포차,99.17m²,,2021-06-26,66,오목교역에 있는 먹자라인 2층에 있는 매장,"연락처공개, 주소공개, 현장동영상, 현장사진",오목교역쪽으로만 유입될 수밖에 없는 독점상권,,"3,000만",417만,1억,협상가능,직거래
544081,55-6264,서울시 강서구 공항동,1층,실내포차,82.5m²,,2021-06-24,14,마곡옆 실내포차,"연락처공개, 주소공개, 현장사진","가시성, 접근성 짱 ",,"3,000만",210만,"3,500만",협상가능,직거래
544012,55-6196,서울시 마포구 망원동,1층,실내포차,82.65m²,,2021-06-23,34,마포구 망원동 프랜차이즈 포자,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 권유 전화 엄금!,,"3,000만",310만,"3,500만",협상가능,직거래
543859,55-6043,서울시 노원구 상계동,1층,실내포차,47.93m²,,2021-06-22,25,상계동 분위기 좋은 술집!!,"연락처공개, 주소공개, 현장사진",돈 벌고 싶으신분들 얼른 봐주세요 !,,"3,000만",130만,"4,500만",협상가능,직거래
543858,55-6042,서울시 서대문구 창천동,1층,실내포차,52.89m²,,2021-06-23,20,신촌 먹자 메인골목 1층 실내포차,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 권유 전화 엄금!,,"5,000만",220만,"4,500만",협상가능,직거래
543767,55-5951,서울시 노원구 상계동,-1층,실내포차,99.17m²,,2021-06-22,40,마들역 역세권 실내주점 매장,"연락처공개, 주소공개, 현장동영상, 현장사진",초역세권 매장입니다. 급매,,"1,000만",120만,"1,800만",협상가능,직거래
543764,55-5948,경기북부 의정부시 의정부동,1층,실내포차,49.59m²,,2021-06-22,30,가능역 바로 앞 먹자골목 주점,"연락처공개, 주소공개, 현장동영상, 현장사진",몸만 오세요 모든게 준비되어 있습니다.,,"2,500만",90만,"2,500만",협상가능,직거래
543592,55-5777,서울시 중랑구 묵동,1층,실내포차,39.67m²,,2021-06-18,46,중랑구 화랑대역 인근 1층 닭발 실내포차,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환문의 절대사절,,"1,000만",70만,"1,500만",협상가능,직거래
543544,55-5729,인천시 미추홀구 용현동,2층,실내포차,109.09m²,주식회사포차천국,2021-06-25,38,인천미추홀구 인하대 메인상권내 포차,"프랜차이즈, 연락처공개, 주소공개, 현장사진",월수익 400~500만원 수준,,"4,000만",220만,1억,협상가능,직거래
543504,55-5689,인천시 남동구 서창동,1층,실내포차,79.34m²,,2021-06-17,16,남동구 서창동 오뎅포차 창업,"연락처공개, 주소공개, 현장동영상, 현장사진",자리 보시고 결정하세요,,"5,000만",300만,"4,000만",협상가능,직거래
543381,55-5566,경기남부 용인시 기흥구 영덕동,1층,실내포차,51.8m²,,2021-06-16,14,용인 기흥구 닭발전문 포차-월수익 400만원,"연락처공개, 주소공개, 현장사진","월매출액 20년 1,800만원 수준",,"2,000만",170만,"8,000만",협상가능,직거래
543073,55-5258,서울시 마포구 서교동,2층,실내포차,99.17m²,,2021-06-10,29,홍대입구 최요지 실내포차,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환권유 전화 금지!,,"7,500만",260만,"3,500만",협상가능,직거래
542704,55-4889,서울시 성동구 행당동,-1층,실내포차,127.59m²,,2021-07-07,72,왕십리역/한양대 인근의 실내포차 매매!!!,"연락처공개, 주소공개, 현장사진",초역세권과 대학가의 최고의 입지 조건을 자랑합니다!!,,"5,000만",200만,100만,협상가능,직거래
542410,55-4597,인천시 서구 청라동,1층,실내포차,112.4m²,,2021-05-30,61,인천시 서구 청라동 감성 실내포차,"연락처공개, 주소공개, 현장사진",부동산 교환권유 전화 금지!,,"3,000만",250만,"5,500만",협상가능,직거래
542390,55-4577,서울시 강북구 수유동,1층,실내포차,133.88m²,,2021-06-01,40,수유역 7번출구 먹자골목에 위치해 포차,"연락처공개, 주소공개, 현장동영상, 현장사진",돈 벌 자리 여기입니다.,,"1억5,000만","1,000만","1억7,000만",협상가능,직거래
541952,55-4140,경기남부 용인시 수지구 풍덕천동,1층,실내포차,122.5m²,,2021-06-28,50,"((수지))오늘, 와인 한잔!!","연락처공개, 주소공개, 현장동영상, 현장사진",자리 잘 잡아놓은  매장입니다,,"5,000만",300만,"2억5,000만",협상가능,직거래
541713,55-3901,경기북부 의정부시 민락동,1층,실내포차,43.97m²,,2021-05-23,81,의정부 민락동 먹자골목 호프집,"연락처공개, 주소공개, 현장사진",샵인샵 배달영업 좋아용,,"1,500만",90만,"1,500만",협상가능,직거래
540369,55-2559,서울시 관악구 봉천동,2층,실내포차,82.65m²,,2021-06-09,106,서울대입구역 월세싼 포차,"연락처공개, 주소공개, 현장동영상, 현장사진",서울대입구역 샤로수길 초입,,"1,500만",150만,"4,500만",협상가능,직거래
539818,55-2013,경기남부 평택시 안중읍 현화리,2층,실내포차,242.89m²,,2021-05-05,49,((안중))거의 독점필  프랜차이즈술집,"연락처공개, 주소공개, 현장사진",매출  대박 나고 있습니다.,,"2,000만",250만,"3억4,000만",협상가능,직거래
539816,55-2011,서울시 마포구 서교동,1층,실내포차,110.96m²,,2021-07-05,67,매출 좋은  술집,"연락처공개, 주소공개, 현장사진",엄청 저렴하게  나왔습니다.,,"4,000만",330만,"8,000만",협상가능,직거래
539797,55-1992,경기남부 광주시 경안동,-1층,실내포차,165.3m²,,2021-06-03,43,경기광주 퓨전포차,"연락처공개, 주소공개, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,"5,000만",350만,"2,000만",협상가능,직거래
539790,55-1985,서울시 강서구 화곡동,1층,실내포차,43m²,,2021-07-07,49,화곡역 실내포차,"연락처공개, 주소공개, 현장동영상, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,"2,500만",120만,"5,000만",협상가능,직거래
539625,55-1821,인천시 서구 석남동,1층,실내포차,184.68m²,,2021-07-05,57,(인천시) 석남동에 위치하고 있는 실내포차,"연락처공개, 주소공개, 현장동영상, 현장사진",배달 매출은 지금까지 변동 없이 꾸준합니다.,,"5,000만",350만,"1억6,000만",협상가능,직거래
539455,55-1651,인천시 서구 석남동,1층,실내포차,62.81m²,,2021-06-28,52,인천 서구 석남동 주점,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환권유 전화금지!,,"2,000만",90만,"5,000만",협상가능,직거래
539308,55-1504,서울시 서대문구 홍은동,1층,실내포차,33.06m²,,2021-04-28,14,홍은동 닭발&떡볶이 양도 양수합니다.,"연락처공개, 주소공개, 현장동영상, 현장사진",월 순수익 800만원이상,,"1,000만",99만,"7,500만",협상가능,직거래
539297,55-1493,경기남부 의왕시 내손동,1층,실내포차,119.01m²,,2021-04-28,59,의왕시 내손동 퓨전포차,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환권유 전화금지!,,"5,000만",330만,500만,협상가능,직거래
