id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
544284,55-6466,인천시 부평구 부평동,3층,노래방,823.81m²,,2021-06-29,197,부평!! 유동 인구 최고의 특급 상권!!,"현장동영상, 현장사진",클럽 노래방 BAR 소주 호프 룸 클럽 유흥 술집 카페,지금 바로 전화 주세요 !!,"2억2,500만","1,000만","5억5,000만",협상가능,중개거래
544269,55-6451,인천시 연수구 동춘동,4층,노래방,176.53m²,,2021-06-29,128,[인천] 코인노래방! 지금이 기회!!,현장사진,코로나는 이제 끝!! 저렴하게 잡으세요~,찔러보는 문의는 자제 바랍니다.,"3,000만",160만,"4,500만",협상가능,중개거래
542279,55-4466,서울시 광진구 화양동,-1층,노래방,98.68m²,,2021-07-06,417,코노!! 진정한 역대급 매물!!,현장사진,역세권+대학가+대로변+단독입구+찐임대료,본 매물은 절대 놓치지 마시길 바랍니다.,"1,000만",120만,"1억3,000만",협상가능,중개거래
539923,55-2118,인천시 미추홀구 주안동,-1층,노래방,329.72m²,,2021-05-04,366,((주안역))초특급 테마 노래방,"현장동영상, 현장사진",뭘 삼상해도  그 이상입니다!!!,초특급  럭셔리  노래 테마  클럽~!!!,"4,000만",190만,"3억5,900만",협상가능,중개거래
513478,52-5723,서울시 강서구 마곡동,3층,노래방,132.23m²,세븐스타코인노래연...,2021-07-06,1312,[특급]마곡나루! 초메인! 코인노래방!,"프랜차이즈, 연락처공개, 주소공개, 현장사진","업계 1위 프랜차이즈, 계속 확장하는 상권, 유동인구 바글바글",부동산 교환 등의 문의는 절대 사절합니다.,"3,000만",270만,1억,협상가능,직거래
536632,54-8835,서울시 송파구 방이동,3층,노래방,109.09m²,,2021-07-06,2573,[송파] 먼저 잡는 주인공은 과연!!,현장사진,방이동 먹자라인 메인통에 위치한 미친 자리!,바로 계약될 매물입니다. 빠른 문의 바랍니다^^,"3,000만",180만,"3,800만",협상가능,중개거래
495487,50-7741,경기남부 안산시 단원구 고잔동,4층,노래방,189m²,세븐스타코인노래연...,2021-07-06,953,[안산] 프리미엄 세븐스타코인 전국 1위!!,"프랜차이즈, 연락처공개, 주소공개, 현장사진",A급 매출! A급 시설! A급 최저 임대료,요즘 모르는 분들은 없죠? 맞습니다. 세븐스타코인입니다!,"2,000만",140만,"1억9,000만",협상가능,직거래
534766,54-6993,서울시 노원구 상계동,-1층,노래방,102.48m²,,2021-07-06,1162,급매물!  권리금 확 낮춘 입지좋은 노래방!,"연락처공개, 현장사진",인테리어 완전 새단장~ 돈되는 자리!,잘부탁드립니다,"3,000만",250만,"6,000만",협상가능,직거래
469914,48-2183,경기남부 안산시 단원구 초지동,2층,노래방,116m²,,2021-07-06,502,초지동 항아리상권 수익좋은 프랜 코인노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",대로변2층 홍보좋음/단골손님많음/인테리어최상,초지동 항아리 상권 및 대단지아파트 지상 2층 프랜차이즈 코인노래방,"1,500만",130만,"7,500만",협상가능,직거래
500945,51-3198,충청남도 천안시 동남구 신부동,-1층,노래방,122.65m²,세븐스타코인노래연...,2021-07-06,1600,[천안] 코인노래방은 이곳이 진리!!,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",보시면 단박에 맘에 드실 매장입니다.,상권내 가장 매출 좋은 매장입니다~!!,"2,000만",85만,"7,000만",협상가능,직거래
544999,55-7180,인천시 계양구 계산동,2층,노래방,140m²,,2021-07-08,8,인천1호선 봐로 위치한 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",80만,"5,000만",협상가능,직거래
544988,55-7169,인천시 계양구 계산동,2층,노래방,168m²,,2021-07-08,14,먹자라인 및 번화가 초입에 위치한 지상 노래,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",100만,"4,000만",협상가능,직거래
544979,55-7160,인천시 계양구 계산동,-1층,노래방,143m²,,2021-07-08,1,대로변 메인 번화가에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"6,000만",협상가능,직거래
544978,55-7159,인천시 계양구 계산동,-1층,노래방,160m²,,2021-07-08,11,인테리어  깔끔하고 좋은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"4,000만",협상가능,직거래
544977,55-7158,인천시 계양구 계산동,-1층,노래방,118m²,,2021-07-08,8,먹자라인 입구에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",90만,"5,500만",협상가능,직거래
544975,55-7156,인천시 계양구 계산동,-1층,노래방,77m²,,2021-07-08,5,메인 번화가 대로변  노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",70만,"4,000만",협상가능,직거래
544885,55-7066,인천시 연수구 연수동,-1층,노래방,133m²,,2021-07-07,1,대로변 사거리코너 메인 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",90만,"7,500만",협상가능,직거래
544884,55-7065,인천시 연수구 연수동,-1층,노래방,125m²,,2021-07-07,2,대로변 먹자라인 초입 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",100만,"6,000만",협상가능,직거래
544883,55-7064,인천시 연수구 연수동,-1층,노래방,123m²,,2021-07-07,0,먹자라인 상권 인기 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"6,000만",협상가능,직거래
544866,55-7047,인천시 연수구 연수동,-1층,노래방,120m²,,2021-07-07,5,번화가 메인 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",100만,"1억1,000만",협상가능,직거래
544863,55-7044,인천시 연수구 연수동,-1층,노래방,143m²,,2021-07-07,1,먹자라인 인테리어 좋은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",100만,1억,협상가능,직거래
544856,55-7037,인천시 연수구 청학동,-1층,노래방,112m²,,2021-07-07,4,사거리코너 위치 좋은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",90만,"6,000만",협상가능,직거래
544772,55-6953,인천시 연수구 연수동,-1층,노래방,133m²,,2021-07-06,2,먹자 및 번화가에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",105만,"5,000만",협상가능,직거래
544768,55-6949,인천시 연수구 연수동,-1층,노래방,133m²,,2021-07-06,10,번화가에 자리잡은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"3,500만",협상가능,직거래
544765,55-6946,인천시 연수구 연수동,-1층,노래방,149m²,,2021-07-06,3,먹자라인  깔끔한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",70만,"6,000만",협상가능,직거래
544664,55-6845,경기북부 의정부시 의정부동,-1층,노래방,110m²,,2021-07-05,11,번화가 대로변  노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",90만,"3,000만",협상가능,직거래
544540,55-6722,인천시 남동구 만수동,-1층,노래방,142m²,,2021-07-02,14,먹자라인 인테리어 좋은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",100만,"5,000만",협상가능,직거래
544497,55-6679,인천시 계양구 계산동,-1층,노래방,220.48m²,,2021-07-02,38,인천 계산동 계양구청 앞 코인노래방 매매,"연락처공개, 주소공개, 현장동영상, 현장사진",시설비만 1억 가까이 들어간 노래방입니다.,,"1,000만",90만,"2,500만",협상가능,직거래
544445,55-6627,인천시 남동구 만수동,-1층,노래방,140m²,,2021-07-01,9,먹자라인 대로변 시설 좋은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",80만,"7,000만",협상가능,직거래
544439,55-6621,인천시 남동구 만수동,-1층,노래방,115m²,,2021-07-01,8,인천2호선 가까이 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",105만,"5,000만",협상가능,직거래
544311,55-6493,서울시 강북구 수유동,-1층,노래방,131m²,,2021-06-29,38,수유동 먹자라인 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,000만",200만,"9,000만",협상가능,직거래
544309,55-6491,서울시 강북구 번동,-1층,노래방,128m²,,2021-06-29,35,4호선역 가까이에 위치한 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,500만",100만,"4,500만",협상가능,직거래
544307,55-6489,서울시 강북구 번동,-1층,노래방,102m²,,2021-06-29,37,먹자라인에 위치한 노래방,"연락처공개, 주소공개, 현장사진",부동산교환 사절,,"1,500만",80만,"3,500만",협상가능,직거래
544306,55-6488,서울시 강북구 번동,-1층,노래방,78m²,,2021-06-29,37,4호선라인 대로변 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"2,000만",120만,"5,500만",협상가능,직거래
544186,55-6369,인천시 남동구 만수동,-1층,노래방,128m²,,2021-06-28,3,번화가 메인 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,500만",94만,"8,000만",협상가능,직거래
544169,55-6352,인천시 남동구 만수동,2층,노래방,265m²,,2021-06-27,3,지하철역 가시성 좋은 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,500만",169만,"1억2,000만",협상가능,직거래
544168,55-6351,인천시 계양구 작전동,-1층,노래방,135m²,,2021-06-27,6,사거리에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"9,000만",협상가능,직거래
544166,55-6349,인천시 계양구 작전동,2층,노래방,232m²,,2021-06-26,14,번화가 메인 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"2,000만",180만,"6,500만",협상가능,직거래
544163,55-6346,서울시 영등포구 영등포동3가,-1층,노래방,284.63m²,,2021-06-28,21,[영등포] 노래방,"연락처공개, 주소공개, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,,"5,000만",350만,"1억8,000만",협상가능,직거래
544053,55-6236,인천시 남동구 만수동,2층,노래방,158m²,,2021-06-24,10,인천2호선지하철 가까이에 위치한 지상노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",120만,"6,000만",협상가능,직거래
544052,55-6235,인천시 남동구 만수동,-1층,노래방,116m²,,2021-06-24,33,번화가 초입에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"2,000만",협상가능,직거래
544050,55-6233,인천시 남동구 만수동,-1층,노래방,233m²,,2021-06-24,6,대로변 및 번화가 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",180만,"1억1,000만",협상가능,직거래
544047,55-6230,인천시 서구 당하동,2층,노래방,140m²,,2021-06-24,20,번화가 대로변 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",100만,"3,000만",협상가능,직거래
544044,55-6227,인천시 남동구 간석동,4층,노래방,191m²,,2021-06-24,11,번화가 대로변 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",140만,"5,000만",협상가능,직거래
544041,55-6224,인천시 남동구 간석동,-1층,노래방,110m²,,2021-06-25,10,사거리에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",70만,"8,500만",협상가능,직거래
544040,55-6223,인천시 남동구 구월동,-1층,노래방,159m²,,2021-06-24,14,메인 대로변  노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",80만,"4,000만",협상가능,직거래
543933,55-6117,서울시 관악구 봉천동,-1층,노래방,142m²,,2021-06-23,25,번화가 대로변  노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",140만,"3,000만",협상가능,직거래
543930,55-6114,서울시 관악구 봉천동,-1층,노래방,80m²,,2021-06-23,15,삼거리에 자리잡은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",200만,"1억2,000만",협상가능,직거래
543926,55-6110,서울시 관악구 봉천동,-1층,노래방,119m²,,2021-06-23,16,시장 입구에 자리잡은  노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",70만,"9,500만",협상가능,직거래
543925,55-6109,서울시 관악구 봉천동,-1층,노래방,105m²,,2021-06-23,8,대로변에. 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",190만,"8,000만",협상가능,직거래
543901,55-6085,경기북부 고양시 덕양구 성사동,-2층,노래방,661.16m²,,2021-06-21,21,고양시 덕양구 노래연습장,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 권유 전화 엄금!,,"3,000만",260만,"9,000만",협상가능,직거래
543852,55-6036,인천시 남동구 만수동,2층,노래방,180m²,,2021-06-23,11,대로변 사거리 코너 메인 지상노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"2,500만",150만,"6,500만",협상가능,직거래
543849,55-6033,서울시 광진구 중곡동,-1층,노래방,101.82m²,,2021-06-23,32,광진구 중곡동 신성시장 노래방,"연락처공개, 주소공개, 현장사진",룸4개 방1개 사용 현성업중,,"1,200만",80만,"4,000만",협상가능,직거래
543834,55-6018,인천시 남동구 만수동,6층,노래방,204m²,,2021-06-22,3,뷰가 좋은 대로변 메인 지상노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"2,000만",160만,"9,000만",협상가능,직거래
543832,55-6016,인천시 미추홀구 용현동,-1층,노래방,98m²,,2021-06-22,29,먹자라인 메인 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,000만",71만,"3,000만",협상가능,직거래
543746,55-5930,경기남부 안산시 단원구 와동,-1층,노래방,122m²,,2021-06-21,20,번화가 초입에 위치한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",100만,"5,000만",협상가능,직거래
543745,55-5929,경기남부 안산시 단원구 와동,3층,노래방,170m²,,2021-06-21,11,먹자라인 중심권 지상노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",130만,1억,협상가능,직거래
543741,55-5925,경기남부 안산시 단원구 와동,2층,노래방,150m²,,2021-06-21,7,번화가 사거리코너 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",130만,1억,협상가능,직거래
543739,55-5923,경기남부 안산시 단원구 와동,4층,노래방,157m²,,2021-06-21,5,번화가 대로변 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",140만,"7,000만",협상가능,직거래
543667,55-5852,인천시 남동구 만수동,2층,노래방,118m²,,2021-06-20,11,먹자라인 메인 지상노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",85만,"8,000만",협상가능,직거래
543665,55-5850,인천시 남동구 구월동,2층,노래방,267m²,,2021-06-20,17,모래내시장 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",120만,"6,000만",협상가능,직거래
543664,55-5849,경기남부 안산시 단원구 와동,-1층,노래방,125m²,,2021-06-19,9,대로변 메인 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",70만,"5,000만",협상가능,직거래
543603,55-5788,경기남부 안산시 단원구 와동,-1층,노래방,144m²,,2021-06-18,6,번화가 대로변 지하 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",100만,"4,000만",협상가능,직거래
543602,55-5787,경기남부 안산시 단원구 와동,4층,노래방,180m²,,2021-06-18,10,번화가 대로변 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",100만,"8,000만",협상가능,직거래
544284,55-6466,인천시 부평구 부평동,3층,노래방,823.81m²,,2021-06-29,197,부평!! 유동 인구 최고의 특급 상권!!,"현장동영상, 현장사진",클럽 노래방 BAR 소주 호프 룸 클럽 유흥 술집 카페,지금 바로 전화 주세요 !!,"2억2,500만","1,000만","5억5,000만",협상가능,중개거래
544269,55-6451,인천시 연수구 동춘동,4층,노래방,176.53m²,,2021-06-29,128,[인천] 코인노래방! 지금이 기회!!,현장사진,코로나는 이제 끝!! 저렴하게 잡으세요~,찔러보는 문의는 자제 바랍니다.,"3,000만",160만,"4,500만",협상가능,중개거래
542279,55-4466,서울시 광진구 화양동,-1층,노래방,98.68m²,,2021-07-06,417,코노!! 진정한 역대급 매물!!,현장사진,역세권+대학가+대로변+단독입구+찐임대료,본 매물은 절대 놓치지 마시길 바랍니다.,"1,000만",120만,"1억3,000만",협상가능,중개거래
539923,55-2118,인천시 미추홀구 주안동,-1층,노래방,329.72m²,,2021-05-04,366,((주안역))초특급 테마 노래방,"현장동영상, 현장사진",뭘 삼상해도  그 이상입니다!!!,초특급  럭셔리  노래 테마  클럽~!!!,"4,000만",190만,"3억5,900만",협상가능,중개거래
543601,55-5786,경기남부 안산시 단원구 와동,3층,노래방,154m²,,2021-06-18,5,번화가 대로변 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",130만,"6,500만",협상가능,직거래
543599,55-5784,경기남부 안산시 단원구 와동,2층,노래방,162m²,,2021-06-18,6,대로변 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",160만,"5,600만",협상가능,직거래
543598,55-5783,경기남부 안산시 단원구 와동,-1층,노래방,142m²,,2021-06-18,9,사거리코너 대로변 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",85만,"4,500만",협상가능,직거래
543571,55-5756,인천시 계양구 용종동,3층,노래방,158m²,,2021-06-17,48,번화가 및 먹자라인 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",110만,"3,000만",협상가능,직거래
543570,55-5755,인천시 계양구 용종동,4층,노래방,331m²,,2021-06-17,15,먹자라인 대로변 지상 노래방 및 유흥1종,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",270만,"7,500만",협상가능,직거래
543568,55-5753,인천시 계양구 용종동,2층,노래방,116m²,,2021-06-17,20,먹자라인 지상 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,000만",120만,"4,000만",협상가능,직거래
543503,55-5688,서울시 중랑구 중화동,-1층,노래방,82.65m²,,2021-06-17,112,대로변 노래방/중화역 3분,"연락처공개, 주소공개, 현장사진","접근성, 가시성 최고 !",,"1,500만",100만,"4,000만",협상가능,직거래
543495,55-5680,경기북부 파주시 와동동,3층,노래방,171.9m²,,2021-06-17,27,럭셔리 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",주택 밀집지역,,"5,000만",230만,"8,000만",협상가능,직거래
543476,55-5661,인천시 남동구 구월동,4층,노래방,250m²,,2021-06-16,18,먹자번화가 지상 1종및 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"7,000만",500만,"2억2,000만",협상가능,직거래
543474,55-5659,인천시 남동구 구월동,4층,노래방,320m²,,2021-06-16,7,번화가 지상 노래방 및 단란주점,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"4,000만",400만,"1억5,000만",협상가능,직거래
543473,55-5658,인천시 남동구 구월동,4층,노래방,124m²,,2021-06-16,12,구월동 번화가  지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",200만,"1억1,000만",협상가능,직거래
543470,55-5655,인천시 남동구 구월동,4층,노래방,245m²,,2021-06-16,4,먹자라인 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"5,000만",400만,"1억5,000만",협상가능,직거래
543467,55-5652,인천시 미추홀구 도화동,3층,노래방,142m²,,2021-06-16,7,신도시 번화가 지상노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,500만",200만,"1억1,500만",협상가능,직거래
543466,55-5651,인천시 남동구 구월동,-1층,노래방,108m²,,2021-06-16,32,구월동 번화가 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",80만,"3,500만",협상가능,직거래
543374,55-5559,경기남부 시흥시 대야동,2층,노래방,206m²,,2021-06-15,5,먹자라인 번화가 지상노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"3,000만",308만,"1억1,000만",협상가능,직거래
543370,55-5555,경기남부 시흥시 신천동,-1층,노래방,232m²,,2021-06-15,16,문화의거리 사거리코너 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"3,200만",250만,"1억3,000만",협상가능,직거래
543364,55-5549,경기남부 시흥시 신천동,3층,노래방,165m²,,2021-06-15,7,번화가 사거리코너 지상 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"3,500만",130만,"9,500만",협상가능,직거래
543286,55-5471,경기남부 시흥시 신천동,2층,노래방,210m²,,2021-06-14,10,번화가 및 지하철 봐로인 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",250만,"1억6,000만",협상가능,직거래
543160,55-5345,경기남부 부천시 원종동,2층,노래방,219m²,,2021-06-13,27,시장가까이 잇는 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",135만,"1억3,000만",협상가능,직거래
543148,55-5333,경기남부 부천시 원종동,-1층,노래방,215m²,,2021-06-12,10,대로변 메인 지하1층 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",130만,"1억1,000만",협상가능,직거래
543146,55-5331,경기남부 부천시 원종동,-1층,노래방,215m²,,2021-06-12,8,번화가 대로변 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",150만,"1억4,000만",협상가능,직거래
543145,55-5330,경기남부 부천시 원종동,-1층,노래방,144.9m²,,2021-06-12,7,먹자라인 사거리 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",130만,"1억1,000만",협상가능,직거래
543015,55-5200,경기남부 안양시 만안구 박달동,-1층,노래방,115m²,,2021-06-09,36,대로변 메인 지하1층 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,000만",75만,"5,000만",협상가능,직거래
543014,55-5199,경기남부 안양시 만안구 안양동,-1층,노래방,265m²,,2021-06-09,19,먹자라인 초입 인테리어 좋은 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"2,000만",120만,"1억2,000만",협상가능,직거래
543013,55-5198,경기남부 안양시 만안구 안양동,-1층,노래방,122m²,,2021-06-09,16,댕리단길 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"1,500만",65만,"6,000만",협상가능,직거래
542899,55-5084,경기북부 고양시 덕양구 성사동,4층,노래방,247.94m²,,2021-07-09,38,고양시노래방 자리,"연락처공개, 주소공개, 현장사진",매출 좋은 자리,,"3,000만",200만,"2억2,000만",협상가능,직거래
541989,55-4177,서울시 광진구 자양동,2층,노래방,135m²,,2021-06-28,203,번화가 대로변 유일한 지상 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"2,000만",160만,"1,000만",협상가능,직거래
541591,55-3779,서울시 송파구 잠실동,-1층,노래방,180m²,,2021-05-21,212,##송파구 잠실동 특급 노래방,"연락처공개, 주소공개, 현장사진",부동산 맞교환 절대 사절,,"2,000만",170만,"2,800만",협상가능,직거래
540945,55-3134,경기남부 안양시 동안구 관양동,2층,노래방,88m²,,2021-06-14,44,대로변 지상 노래방 및 유흥,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"4,000만",150만,"7,000만",협상가능,직거래
540941,55-3130,경기남부 안양시 동안구 관양동,-1층,노래방,232m²,,2021-06-14,22,먹자골목 및 지하철역   지하 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",200만,"8,000만",협상가능,직거래
540939,55-3128,경기남부 안양시 동안구 관양동,-1층,노래방,146m²,,2021-05-13,18,사거리 위치좋은 지하노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",180만,"8,000만",협상가능,직거래
540937,55-3126,경기남부 안양시 동안구 관양동,2층,노래방,150m²,,2021-05-13,22,번화가 지상 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"4,000만",300만,"1억2,000만",협상가능,직거래
540936,55-3125,경기남부 안양시 동안구 관양동,-1층,노래방,226m²,,2021-05-13,34,먹자라인  인테리어 깔끔한 노래방,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 사절,,"3,000만",160만,"5,500만",협상가능,직거래
540715,55-2904,인천시 서구 가좌동,2층,노래방,190m²,,2021-05-12,22,사거리라인에  위치한 노래방입니다,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"3,000만",200만,"1억3,000만",협상가능,직거래
540680,55-2870,인천시 서구 가좌동,2층,노래방,135m²,,2021-05-11,67,대로변에 위치한 지상노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,500만",100만,"4,500만",협상가능,직거래
540677,55-2867,인천시 서구 가좌동,-1층,노래방,100m²,,2021-05-11,11,먹자라인 메인 대로변 노래방,"연락처공개, 주소공개, 현장사진",부동산 교환 사절,,"1,000만",100만,"9,000만",협상가능,직거래
