id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
543199,55-5384,경기남부 성남시 중원구 상대원동,3층,PC방,260.82m²,,2021-06-14,412,특급)102대 매장 [순수익] 최대4천확인,"연락처공개, 현장동영상, 현장사진",i5-9세대 / rtx2080 /16램 / 전좌석 게이밍 모니터,PC방 명당 자리,"3,000만",200만,"2억7,000만",협상가능,직거래
543565,55-5750,서울시 강남구 논현동,-1층,PC방,330.58m²,,2021-06-18,309,강남구 논현동 PC108대,"연락처공개, 현장사진",직접 방문해보셔서 결정하세요,교환문의 절대 사절합니다.,"6,000만",400만,"1억4,000만",협상가능,직거래
538605,55-0801,인천시 계양구 용종동,4층,PC방,231.41m²,샹떼피시방,2021-06-30,533,[특급] 최고 상권/PC 90대/매출보장!,"프랜차이즈, 연락처공개, 주소공개, 현장사진",인천 최고 수준 유흥상권! 월 매출 4천 이상 꾸준한 매장,부동산 교환 등의 문의는 즉각 신고조치합니다!,"2,000만",195만,"1억7,000만",협상가능,직거래
538471,55-0667,충청남도 천안시 서북구 성성동,5층,PC방,142.15m²,스타덤PC,2021-06-30,481,[천안]신규컨디션!/62대/경쟁NO/최고사양,"프랜차이즈, 연락처공개, 주소공개, 현장사진",항아리 상권 경쟁 없이 인프라 계속 늘어나는 투자처,부동산 교환 등의 문의는 즉각 신고조치합니다!,"5,000만",190만,2억,협상가능,직거래
541801,55-3989,광주시 서구 치평동,2층,PC방,254.55m²,,2021-06-30,322,[광주] 역대급 매출!! 독점!!,"연락처공개, 현장사진",긴말하지 않겠습니다. 직접 보세요,월수익 2500! 돈벌기 쉽습니다!,"3,000만",200만,"2억6,000만",협상가능,직거래
539647,55-1843,서울시 노원구 하계동,2층,PC방,165.29m²,,2021-06-30,685,[특급]정화구역내독점! 71대/무인운영 최적,"연락처공개, 주소공개, 현장사진",정화구역에 걸친 특급 입지! 경쟁점 들어올 수 없는 구조,정화구역 내 경쟁점 들어올 수 없는 조건! 아는 사람만 서두르세요!,"4,000만",250만,"1억4,000만",협상가능,직거래
537940,55-0139,경기북부 의정부시 금오동,2층,PC방,198.35m²,라이또PC방,2021-06-30,1007,[특급]의정부 금오 메인A급/80대/최신사양,"프랜차이즈, 연락처공개, 현장사진","상권, 입지, 사양, 시설 검증된 PC방! 그대로 인수 운영 조건",부동산 교환 등의 문의는 신고합니다.,"3,000만",220만,"1억3,000만",협상가능,직거래
544930,55-7111,서울시 광진구 구의동,-1층,PC방,301.49m²,,2021-07-08,27,초역세권 !! 놓치면 후회 !! 전화 주세요,현장사진,아차산역 역세권 프랜차이즈 피시 카페 정품 윈도우 대박 PC방,지금 바로 전화 주세요,"3,000만",237만,1억,협상가능,중개거래
542406,55-4593,서울시 강동구 성내동,-1층,PC방,330.58m²,,2021-07-06,600,대단지 입주예정 특급학교상권 순수익1300만,"연락처공개, 주소공개, 현장동영상, 현장사진",17000세대아파트， 정화구역인근 대형학교상권，NVIDIA인증매장,언제든지 연락주세요!!,"3,000만",250만,"2억2,000만",협상가능,직거래
541869,55-4057,경기남부 양평군 양서면 양수리,3층,PC방,221.82m²,,2021-06-30,323,[주목] 완전 독점 운영 가능한 피시방 !!,"연락처공개, 현장동영상, 현장사진","[ 성업중 ] 방문전 전화로 예약 하신 후, 방문해 주세요",지금 바로 전화 주세요 !!,"3,000만",200만,"1억1,000만",협상가능,직거래
