id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
543224,55-5409,서울시 중구 황학동,2층,당구장,231.41m²,,2021-06-14,456,동대문 시장 상권 대대 전용 구장 매매,"연락처공개, 주소공개, 현장동영상, 현장사진",대대7/시설 최상급 /주차 2900대 가능/순익 최강,"황학동에 위치한 대대전용구장입니다.
동대문시장 근처에 있어 손님이 끊임 없이 오는 매장으로 현재 22시까지...","1억1,480만",600만,"1억8,500만",협상가능,직거래
542544,55-4731,인천시 계양구 계산동,2층,당구장,198.35m²,,2021-07-06,2614,계양구 최고의 자리 깔끔한 당구장 매매,"연락처공개, 주소공개, 현장동영상, 현장사진","대대1,중대7/먹자,시장,주거 밀집 지역,대로변 위치","먹자 상권 및 주거 밀집 지역에 위치해 있으며 
매장 바로 앞 시장이 있어 유동인구가 많은 상권입니다
교...","2,000만",220만,"4,000만",협상가능,직거래
539766,55-1961,경기남부 화성시 새솔동,8층,당구장,343.8m²,,2021-06-30,3315,최상급 대형 당구장{송산신도시},"연락처공개, 주소공개, 현장동영상, 현장사진",먹자골목 메인상권 메인상가,"송산신도시 특급매물 당구장
메인상권 메인상가
대형당구장  저렴한월세","8,000만",380만,2억,협상가능,직거래
538117,55-0314,경기북부 파주시 조리읍 봉일천리,4층,당구장,495.87m²,,2021-06-30,1217,섹시한 [순수익1000] 당구장*전속중개*,,파주 월세150 대형당구장 최상급컨디션,"섹시한당구장(파주)
순수익 1000
월세150","2,000만",150만,"1억7,500만",협상가능,중개거래
543554,55-5739,경기남부 화성시 봉담읍 와우리,3층,당구장,297.52m²,,2021-06-18,459,수원대학교 앞 최신시설 당구장,"연락처공개, 주소공개, 현장동영상, 현장사진","상권 좋고,시설 최상급 당구장( 대대3, 중대7,포켓1)","수원대학교 앞 시설 최상급, 권리저렴한 당구장","3,000만",245만,"4,000만",협상가능,직거래
543216,55-5401,서울시 도봉구 방학동,3층,당구장,198.35m²,,2021-06-14,509,항아리상권 상가 독점운영중인 대대전용구장,"연락처공개, 주소공개, 현장동영상, 현장사진",대대6대/아파트밀집지역//코로나 22시운영시 순익 500이상,"도봉구청 바로 옆에 위치한 대대 전용 구장입니다
현재 22시까지 운영시 순익 500이상 발생하는 매장입니다","4,500만",300만,1억500만,협상가능,직거래
542642,55-4827,서울시 동작구 사당동,-1층,당구장,142m²,,2021-07-06,1279,동작구 상권 좋은 곳에 위치한 당구장 매매,"연락처공개, 주소공개, 현장동영상, 현장사진","대대1,중대5/주거 오피스 상권/월세 저렴/시설 깔끔","우선 상권 보시고 판단하세요
교환전화 절대 사절","3,000만",170만,"2,900만",협상가능,직거래
542137,55-4324,경기남부 군포시 당정동,2층,당구장,198.35m²,,2021-06-30,1402,초 역세권 !! 10 년 전통 독점 당구장,"연락처공개, 현장동영상, 현장사진",초 역세권 / 완전 독점 / 대학교 인근 / 매출도 굿 !,지금 바로 전화 주세요!!,"3,000만",250만,"5,000만",협상가능,직거래
541733,55-3921,경기남부 평택시 평택동,5층,당구장,446.28m²,,2021-06-30,1650,평택역 먹자 상권에 위치한 대형 당구장 매매,"연락처공개, 주소공개, 현장동영상, 현장사진","중대9,포켓4/ 면적대비 월세 저렴/술판매 합법/깔끔한 시설","월세관리비가 매우 저렴한 매장으로 합법적으로 술 판매가 가능한 매장입니다.
직접 보시고 결정하세요","3,000만",160만,"4,000만",협상가능,직거래
538884,55-1080,경기남부 평택시 비전동,4층,당구장,224.79m²,,2021-06-30,7860,평택 최소 순수익 450이상 당구장 급매,"연락처공개, 주소공개, 현장동영상, 현장사진","대대5,중대4/항아리상권/상가밀집지역/아파트밀집지역","평택 비전동 위치한 시설상태 최상이며 현재 주말 알바 쓰면서 순익 450만원 이상 가져가는 매장입니다.
제...","4,000만",250만,"5,500만",협상가능,직거래
