id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
544755,55-6936,경기남부 용인시 처인구 김량장동,1층,편의점,82.65m²,세븐일레븐,2021-07-07,236,용인시 역세권 구청앞 #최저가# 편의점,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",용인 구청 앞/주택가 사거리 코너자리 /19시간 매장/ 실속매장,"#체크 포인트
1)용인시 처인구청 바로앞!!
2)골목상권 사거리 코너자리!!
3)저렴한 월세!!최저가 ...","3,500만",110만,"1,200만",협상가능,직거래
544602,55-6783,경기남부 오산시 수청동,1층,편의점,66.12m²,미니스톱,2021-07-05,231,오산 신축 아파트 상가 1층 *독점 편의점*,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",보증금 5000만원 파격 지원!! / 아파트 상가독점 운영 편의점,"#체크포인트
1)아파트 단지 내 독점운영 편의점
2)보증금 5000만원 파격 지원!!
3)특A급 시설 ...","8,000만",280만,"2,500만",협상가능,직거래
544468,55-6650,인천시 부평구 부평동,1층,편의점,66.12m²,미니스톱,2021-07-02,397,부평 초역세권 오피스텔 #독점# 편의점,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",특급 상권!! 자리 하나만 보고 결정해도 후회없는 매장!,"*체크포인트
1)더블역세권 오피스텔1층 매장!!
2)오피스텔 독점 운영 매장!!
3)최저가 알짜매장!!","3,000만",270만,"1,900만",협상가능,직거래
544260,55-6442,인천시 미추홀구 주안동,1층,편의점,59.5m²,,2021-06-29,571,(일매출200!!)인천 고매출*고수익 편의점,"연락처공개, 현장동영상, 현장사진",아파트단지 바로앞!! 시설특A급!!수익성 최고!,"#체크포인트
1. 인천 법조타운 바로앞
2. 일매출200만원 이상
3. 고매출&고수익 매장","3,000만",200만,"9,300만",협상가능,직거래
543553,55-5738,경기남부 시흥시 장현동,1층,편의점,56.2m²,,2021-06-18,1088,시흥 신축 아파트 상가 1층 코너자리 편의점,"연락처공개, 주소공개, 현장동영상, 현장사진",코너1층 &양쪽으로 횡단보도 낀 특급자리/ 안정적 운영,"#체크포인트
1)대단지 아파트 독점 편의점
2)사거리 코너&양쪽으로 횡단보도 낀 매장
2)높은 배분율 ...","5,000만",250만,"2,500만",협상가능,직거래
542816,55-5001,경기남부 수원시 팔달구 인계동,1층,편의점,72.73m²,미니스톱,2021-07-08,3379,(수원시) 인계동 대박 입지 편의점,"프랜차이즈, 연락처공개, 주소공개, 현장동영상, 현장사진",최근 6월 평균 일매출 180만원 정도/권리금 내렸습니다.,잔여기간 승계해서 계약 끝나면 대박 나는 편의점,"3,000만",210만,"4,000만",협상가능,직거래
542725,55-4910,경기북부 고양시 일산서구 덕이동,1층,편의점,99.17m²,지에스25(GS2...,2021-07-07,1074,일산 *공단 밀집지역* 대로변 1층 편의점,"프랜차이즈, 연락처공개, 현장동영상, 현장사진","매장 앞 버스 정류장& 횡단보도/ 넓은 주차장/ 가시성, 접근성최","#체크포인트
1)공단밀집지역
2)대로변1층 가시성 최고
3)넓은 주차장 접근성 최고","2,500만",230만,"5,200만",협상가능,직거래
542581,55-4767,경기남부 화성시 반송동,1층,편의점,49.59m²,이마트24(ema...,2021-07-06,3755,(권리인하!!)동탄 초특급 상권 이마트24,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",지금부터 선착순!!메인상권 사거리 코너1층!!18시간 운영매장!,특급상권!!매출 계속 상승하는 신규점포!!,"3,000만",190만,"2,900만",협상가능,직거래
541565,55-3753,강원도 철원군 갈말읍 지포리,1층,편의점,99.17m²,이마트24(ema...,2021-06-30,1103,아파트 단지앞 #프리미엄# 시설 이마트24,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",인테리어 최상급!! 월세는 최저가!! 가성비 최고 매장!,"*체크포인트
1)프리미엄급 시설
2)높은 마진률/가성비최고
3)월세 최저가
3","2,000만",100만,"6,000만",협상가능,직거래
541252,55-3440,경기남부 시흥시 정왕동,1층,편의점,99.17m²,씨유(CU),2021-06-30,2128,시흥시 원룸밀집 수익률 최고 CU편의점,"프랜차이즈, 연락처공개, 현장동영상, 현장사진",마진률 최고!! 배분율 최고!! 매출 대비 수익성 최고!,"#체크포인트
@원룸 밀집지역
@높은 마진률과 배분율
@매출대비 수익성 최고","2,000만",220만,"1억7,000만",협상가능,직거래
