id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
540120,55-2311,경기북부 남양주시 진접읍 금곡리,1층,이동통신점,52.56m²,,2021-05-06,1126,남양주 진접 4달 7000만원매출 휴대폰매장,"연락처공개, 주소공개, 현장동영상, 현장사진",아파트입구/횡단보도앞/코너자리,이번에 소개해 드릴 곳은 남양주 진접에 위치한 휴대폰 매장입니다.,"3,000만",260만,"7,000만",협상가능,직거래
538878,55-1074,인천시 남동구 구월동,1층,이동통신점,33.06m²,,2021-06-30,1318,[인천시 구월동]특A급상권 메인 무권리,"연락처공개, 주소공개, 현장사진",인천 최고의 역세권 상권 / 최고의 입지 / 최고의 기회!,"[인천시 구월동]특A급상권 메인 무권리""급",1억,750만,없음,,직거래
542049,55-4237,서울시 강남구 신사동,1층,이동통신점,39.67m²,,2021-06-30,375,((압구정))제일 좋은 입지 ~!!,"주소공개, 현장동영상, 현장사진",최고의 입지~!! 타업종  가능~!,"최고의 상권과  입지입니다~~~!!!
빠른 선점 추천합니다 ~~!!
무엇이든 물어봐주세요~~~!!!","3,000만",300만,"2,700만",협상가능,중개거래
516813,52-9054,인천시 미추홀구 주안동,1층,이동통신점,59.5m²,,2021-07-06,1247,[인천] 역 앞!! 이건 기회!!,"연락처공개, 주소공개, 현장사진",역세권+버스정류장+월수익1000!,교환문의 사절!! 프랜차이즈 입점 환영!!,"5,000만",245만,"1,000만",협상가능,직거래
535740,54-7963,경기남부 안산시 단원구 고잔동,1층,이동통신점,33.06m²,,2021-07-06,1672,[안산시 고잔동]순이익700만이상 폰매장!!,"연락처공개, 주소공개, 현장사진",독점 특급 상권 / 다시 없을 좋은 조건!,[안산시 고잔동]항아리상권 특A급 폰매장!!,"5,000만",230만,"1,500만",협상가능,직거래
508849,52-1094,경기북부 남양주시 와부읍 덕소리,1층,이동통신점,26.45m²,,2021-07-06,793,단골 많은 남양주 핸드폰 가게 매매,"연락처공개, 주소공개, 현장동영상, 현장사진",8년 동안 꾸준히 영업할 수 있는 안정적인 가게,잘부탁드립니다!,"1,000만",110만,"6,000만",협상가능,직거래
537304,54-9506,서울시 강서구 내발산동,1층,이동통신점,28.1m²,,2021-07-06,427,[강서구 내발산동]특급 폰샵 무권리 급매!!,"연락처공개, 주소공개, 현장사진",행단보도 코너 건물 입지 최고!,수익률 좋은 특급 폰샵[강서구 내발산동],"2,000만",154만,없음,,직거래
525069,53-7307,경기북부 파주시 동패동,1층,이동통신점,36.36m²,,2021-07-06,720,[파주시] 행단보도 코 A급 휴대폰할인점!!,"연락처공개, 주소공개, 현장사진",안정적인 항아리 상권 상권 / A급 입지!,[파주시] A급 안정적인 휴대폰할인점!!,"3,000만",180만,800만,협상가능,직거래
535295,54-7519,경기남부 부천시 중동,1층,이동통신점,40m²,,2021-07-06,392,[부천시 중동]월70대이상 휴대폰할인매장.,"연락처공개, 주소공개, 현장사진",입지 / 상권 / 수익률 최고!,[부천시 중동]월70대이상 휴대폰할인매장.,"3,000만",210만,"3,000만",협상가능,직거래
544960,55-7141,서울시 강북구 미아동,1층,이동통신점,19.83m²,,2021-07-08,8,강북구 미아동 휴대폰 판매점,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 권유 전화 엄금!,,"2,000만",140만,"1,500만",협상가능,직거래
