id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
544691,55-6872,경기남부 김포시 마산동,2층,미용실,82.65m²,,2021-07-06,67,김포한강신도시 미용실/독서실 입점,"연락처공개, 주소공개, 현장동영상, 현장사진",초메인상권/상가/편리성/환금성최고위치,김포한강신도시 미용실 독서실 최대자리,"5,000만",280만,없음,,직거래
543006,55-5191,서울시 영등포구 당산동5가,3층,미용실,165.29m²,,2021-06-09,470,주목!!  미용실은 이 물건부터 보셔야죠?!,"연락처공개, 현장사진",영등포 당산역 대박 자리 특 AA급 풀오토 매장입니다~ 서둘러요,말해 머해?!! 풀 오토 매장의 미용실 유동성 높은 특 에이급 매물입니다.,"3,500만",280만,"6,500만",협상가능,직거래
539319,55-1515,서울시 관악구 신림동,2층,미용실,99.17m²,,2021-06-30,3702,((신림역))매출굿! 자리잡힌 미용실 !,연락처공개,리뉴얼 새로 해서  깨끗해요~~,"신림역  최고의 상권!!!!!
최고의 입지 !!!!!!!!!
최고의 네임벨류 ~!!!!!!!!!!!","5,000만",400만,"2,500만",협상가능,직거래
537855,55-0055,서울시 강동구 천호동,1층,미용실,68.43m²,,2021-06-30,2131,투자 많이한 헤어샵 초특가 인수 기회 !!,"연락처공개, 현장동영상, 현장사진",카페 / 네일아트 / 피부샵 / 왁싱 / 모든 업종 가능 !,지금 바로 전화 주세요 !!,"2,000만",220만,"5,000만",협상가능,직거래
543186,55-5371,경기남부 수원시 권선구 금곡동,2층,미용실,165.29m²,,2021-06-12,401,수원 !! 2 억 투자된 럭셔리 헤어샵 !!,"현장동영상, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,지금 바로 전화 주세요 !!,"4,000만",250만,"1억1,000만",협상가능,중개거래
544813,55-6994,서울시 동작구 흑석동,2층,미용실,59.5m²,,2021-07-05,50,[강추] 놓치면 잠 못 자는 대박 헤어샵,"주소공개, 현장사진",1억 이상 투자 대박 헤어샵 초특급 매출굿 미용실 최저가 중앙대,지금 바로 전화 주세요,"5,000만",220만,"3,000만",협상가능,중개거래
538492,55-0688,경기남부 화성시 영천동,1층,미용실,37.02m²,,2021-04-19,1455,동탄테크노벨리 랜드마크성 최고의 입지여건,현장사진,"1층 114,115호 / 2칸 각각 또는 통합으로 임차인 모집중",힐스테이트 2차 공실,"3,000만",200만,없음,,중개거래
543906,55-6090,서울시 마포구 망원동,2층,미용실,49.59m²,,2021-06-23,153,망원동 강추 인기 미용실 매장,"연락처공개, 주소공개, 현장사진",망원역 2번출구 앞 유동인구 많은 곳에 위치한 미용실,망원역 2번출구 앞 유동인구 많은 곳에 위치한 미용실,"3,000만",170만,"3,200만",협상가능,직거래
543729,55-5913,경기남부 화성시 반송동,1층,미용실,39.67m²,,2021-06-21,951,월세 70 !! 최저가 & 초특가 헤어샵,"연락처공개, 주소공개, 현장사진",화성 / 동탄 / 미용실 / 저렴한 헤어샵 / 네일아트 / 뷰티샵,지금 바로 전화 주세요 !!,"1,000만",70만,"1,100만",협상가능,직거래
527459,53-9695,서울시 강서구 내발산동,2층,미용실,109.09m²,리안,2021-07-06,1662,내발산동]프렌차이즈 리안 헤어 나왔습니다.!,"프랜차이즈, 현장동영상, 현장사진",반 오토 운영 매장/ 프렌차이즈 미용실/ 네일샵 샵엔샵 입점,리안헤어,"5,000만",240만,"6,000만",협상가능,중개거래
