id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
542834,55-5019,서울시 금천구 독산동,1층,네일아트,28.1m²,,2021-07-08,89,금천구 프리미엄아파트 쇼핑몰 초특가 네일샵,"연락처공개, 현장사진",대형마트 및 대형 쇼핑몰 단지로 인구밀도집중지역,지금이 기회 편하게 연락주세요,"2,000만",100만,"2,000만",협상가능,직거래
542669,55-4854,제주도 서귀포시 강정동,2층,네일아트,26.45m²,,2021-07-07,113,((서귀포시))유명 네일샵~~~~!!!!!!,"주소공개, 현장동영상, 현장사진",그대로  몸만 들어오세요~~~~~~~~~~!!!!!,"대박난  네일샵 
그대로  인수하셔서 대박 기운  받아가세요~~~!!!!!
시설 ,집기, 비품  모두 모...","1,000만",75만,"3,500만",협상가능,중개거래
541971,55-4159,서울시 송파구 삼전동,3층,네일아트,76.03m²,,2021-07-02,905,초역세권!! 전망& 뷰 예술!! 저렴한 월세,"현장동영상, 현장사진",인기 많은 궁전 같은 샵 !! 빨리 오세요 !,지금 바로 전화 주세요 !!,"2,700만",180만,"5,000만",협상가능,중개거래
543731,55-5915,경기북부 고양시 일산동구 백석동,6층,네일아트,66.12m²,,2021-06-21,38,일산] 장사잘되는 네일샵 ! 양도양수기회!,"연락처공개, 주소공개, 현장사진",일산 네일샵 양도양수,네일샵 ! 월세 70만에 규모있는 네일샵 !,"1,000만",70만,"4,000만",협상가능,직거래
530726,54-2958,서울시 동작구 대방동,1층,네일아트,59.5m²,,2021-07-06,1680,역세권 !! 매출 굿 !! 거의 독점!!,"현장동영상, 현장사진",역세권 / 시설 굿 / 매출 굿 / 거의 독점 네일샵 !,지금 바로 전화 주세요 !!!,"5,000만",181만,"5,000만",협상가능,중개거래
528706,54-0940,서울시 은평구 녹번동,1층,네일아트,49.59m²,,2021-07-06,440,(녹번/ 불광) 입지  좋은!!타업종 가능!,"주소공개, 현장동영상, 현장사진","기기 ,재료들  모두 다 최상급 신상들입니다~~!","불광역 역대급 네일샵
타업종 가능하니
무엇이든 물어보세요 !!","2,000만",170만,"5,000만",협상가능,중개거래
525447,53-7685,서울시 양천구 신정동,1층,네일아트,19.83m²,,2021-07-06,1223,섹시한 목동역 네일샵 특A+++급 초역세권매,"연락처공개, 주소공개, 현장동영상, 현장사진",섹시한월세 섹시한상권 섹시한매출,섹시한 목동역 연예인 네일샵,"2,500만",120만,"5,000만",협상가능,직거래
534523,54-6750,경기남부 성남시 분당구 삼평동,3층,네일아트,57.76m²,,2021-07-06,1509,((분당))네일샵!!반영구샵!!피부관리샵!,"주소공개, 현장동영상, 현장사진",거저 드리다시피 하는 예쁜 네일샵~!,공주풍의 뷰좋은 토탈샵~~!!,"2,000만",145만,"2,500만",협상가능,중개거래
533023,54-5252,경기남부 성남시 중원구 여수동,1층,네일아트,33.06m²,,2021-07-06,649,성남여수동) 럭셔리 네일아트 전문샵,"연락처공개, 주소공개, 현장동영상, 현장사진",실화냐? 이금액 특A급매장,"성남시 중원구 여수동에 위치한 네일아트 전문샵입니다.  
","2,000만",150만,"2,500만",협상가능,직거래
544963,55-7144,경기남부 평택시 비전동,1층,네일아트,39.67m²,,2021-07-08,1,평택시 비전동 네일샵,"연락처공개, 주소공개, 현장동영상, 현장사진",부동산 교환 권유 전화 엄금!,,"1,500만",110만,"2,500만",협상가능,직거래
544903,55-7084,경기남부 수원시 장안구 정자동,1층,네일아트,39.67m²,,2021-07-08,7,정자동 단골많은 네일샵,"연락처공개, 주소공개, 현장사진",추가문의 사항은 직통번호로 연락주세요,,"2,000만",80만,"2,000만",협상가능,직거래
544901,55-7082,서울시 송파구 방이동,2층,네일아트,33.06m²,,2021-07-08,3,송파 방이동 먹자골목 인스타감성 네일샵,"연락처공개, 주소공개, 현장사진",추가 문의사항은 직통 번호로 연락주세요,,"1,000만",140만,"4,000만",협상가능,직거래
544870,55-7051,서울시 강동구 명일동,3층,네일아트,39.67m²,,2021-07-08,15,[강동] 네일아트,"연락처공개, 주소공개, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,,"1,000만",80만,"1,000만",협상가능,직거래
544867,55-7048,인천시 미추홀구 용현동,1층,네일아트,33.06m²,,2021-07-08,4,[인천] 네일아트,"연락처공개, 주소공개, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,,"2,000만",160만,"1,000만",협상가능,직거래
544862,55-7043,경기남부 부천시 중동,1층,네일아트,36.36m²,,2021-07-08,7,[부천] 뷰티샵,"연락처공개, 주소공개, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,,"1,000만",100만,"1,000만",협상가능,직거래
544859,55-7040,경기남부 화성시 향남읍 발안리,1층,네일아트,33.06m²,,2021-07-08,12,[화성] 네일아트,"연락처공개, 주소공개, 현장동영상, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,,"2,000만",70만,"1,000만",협상가능,직거래
544777,55-6958,서울시 송파구 잠실동,1층,네일아트,16.53m²,,2021-07-07,13,잠실 삼전역 역세권 1층 네일샵,"연락처공개, 주소공개, 현장사진",부동산 교환문의 절대사절,,"1,000만",70만,"1,200만",협상가능,직거래
544637,55-6818,서울시 도봉구 창동,5층,네일아트,85.95m²,,2021-07-05,4,창동역 네일아트샵,"연락처공개, 주소공개, 현장사진",[교환사절] 문자로 먼저 상담 문의 주세요,,"2,000만",120만,"1,500만",협상가능,직거래
544428,55-6610,서울시 광진구 화양동,2층,네일아트,56.2m²,,2021-07-02,15,건대입구역 유명상권 대로변 네일샵,"연락처공개, 주소공개, 현장사진",부동산 교환문의 절대사절,,"2,000만",130만,"1,000만",협상가능,직거래
