id,code,loc,floor,cate,space,franch,date,hits,title,marks,subtitle,copy,deposit,mthfee,prem,nego_ok,regist
527147,53-9383,서울시 은평구 녹번동,2층,마사지,349.09m²,,2021-06-30,4158,[서울] 8 년 동안 성업중인 대박샵 ,,초 역세권 + 더블 역세권 + 대로변 + 버스정류장 바로 앞,[ 성업중 ] 예약이 많아 사전 예약 필수! 방문 가능 (날짜 / 시간대) 적어 주세요,"4,000만",300만,"1억1,000만",협상가능,직거래
539206,55-1402,서울시 강동구 명일동,3층,마사지,152.07m²,,2021-06-30,2338,강동구 명일동 매력적인 마사지샵 더풋샵,"연락처공개, 주소공개, 현장동영상, 현장사진",실화냐? 이금액 특A급매장,이번에 소개해 드릴 곳은 강동구 명일동에 위치한 마사지 전문샵 더풋샵 입니다,"4,000만",200만,"5,000만",협상가능,직거래
543953,55-6137,서울시 영등포구 여의도동,-1층,마사지,152.07m²,,2021-06-24,244,월매출 4000!! 여의도 프리미엄 마사지샵,현장사진,관리사 6명 / 매니저 4명 / 풀오토 운영중,관리사 6명 / 매니저 4명 / 풀오토 운영중,"8,000만",450만,"1억3,000만",협상가능,중개거래
543841,55-6025,인천시 남동구 논현동,4층,마사지,141.78m²,,2021-06-22,168,인천 소래포구역 위치 좋은 마사지샵,"연락처공개, 현장동영상, 현장사진","매출 좋고, 시설 깔끔합니다.",소래포구역 위치좋은 마사지샵,"2,000만",160만,"3,000만",협상가능,직거래
542830,55-5015,서울시 강동구 천호동,2층,마사지,210.25m²,,2021-07-08,948,2억 투자된 럭셔리 하고 궁전 같은 샵 !!,"연락처공개, 현장동영상, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,지금 바로 전화 주세요 !!,"5,000만",270만,"1억3,000만",협상가능,직거래
541873,55-4061,인천시 남동구 간석동,2층,마사지,241.16m²,,2021-07-06,714,여러번 계약 될뻔한 샵!! 놓치면 후회 !!,"연락처공개, 현장동영상, 현장사진","[ 성업중 ] 방문전 전화로 예약 하신 후, 방문해 주세요",지금 바로 전화 주세요!!,"2,000만",180만,"3,900만",협상가능,직거래
540905,55-3094,경기남부 부천시 중동,2층,마사지,132.23m²,,2021-06-30,868,대박 특가 !! 놓치면 후회 !! 서두르세요,"연락처공개, 현장동영상, 현장사진","[ 성업중 ] 방문전 전화로 예약 하신 후, 방문해 주세요",지금 바로 전화 주세요 !!,"5,000만",240만,"2,000만",협상가능,직거래
538851,55-1047,경기남부 성남시 중원구 성남동,3층,마사지,148.76m²,,2021-06-30,5852,[성남] 모란 1 등 초 역세권 상권 !!,"연락처공개, 주소공개, 현장동영상, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,지금 바로 전화 주세요 !!,"5,000만",280만,"2,000만",협상가능,직거래
538432,55-0628,인천시 미추홀구 주안동,3층,마사지,165.62m²,,2021-06-30,1577,사거리+ 대로변+ 코너자리+ 모든업종 가능,"연락처공개, 현장동영상, 현장사진",[ 성업중 ] 방문전 전화로 예약 하신 후，방문해 주세요,지금 바로 전화 주세요 !!!,"3,000만",198만,"2,000만",협상가능,직거래
540771,55-2960,경기북부 구리시 인창동,2층,마사지,66.12m²,,2021-06-30,1371,구리 아로마테라피 스웨디시 건전 마사지,"연락처공개, 주소공개, 현장사진",월세 저렴! 권리 저렴! 이시설에 이가격 실화?! 선착순,돈 벌고 싶은 사람만 클릭하세요,"1,000만",165만,"2,800만",협상가능,직거래
542333,55-4520,경기북부 구리시 수택동,3층,마사지,264.46m²,,2021-07-07,2142,[강추] 룸 : 15 개 + 방마다 샤워실,"현장동영상, 현장사진","[ 성업중 ] 방문전 전화로 예약 하신 후, 방문해 주세요",지금 바로 전화 주세요 !!,"4,000만",200만,"3,000만",협상가능,중개거래
543443,55-5628,인천시 연수구 송도동,6층,마사지,165.29m²,,2021-06-16,459,상권 최고 !! 최고급 스웨디시 독점샵 !!,현장사진,스웨디시 마사지 / 독점 / 인천 / 역세권 / 최고급 상권 /,지금 바로 전화 주세요 !!,"3,000만",260만,"1억1,000만",협상가능,중개거래
